$HAVE_CRYPTO,$HAVE_HASH,$HAVE_REPLICATIO0,$HAVE_VERIF1,$HAVE_SEQUENCE,$HAVE_STATISTICS,$DIAGNOSTIC,$PAGESIZE,$PS1K,$PS4K,$PS8K,$PS16K,$PS32K,$CACHESIZE,$CS32MB,$CS16MB,$CS64MB,$CS512MB,$<Performance
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.502896333333333
0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0.568212307692308
1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,3.26764964102564
0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0.5394445897435901
1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,6.512719641025639
1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,5.856607384615389
1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,6.509292435897441
1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,5.870778
1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,6.53109484615385
1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,6.51166176923077
1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,5.87087387179487
1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,5.844916948717951
0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0.467633153846154
0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.37481764102564097
0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0.526568538461538
0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0.474230538461539
0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0.533739923076923
1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,6.54155320512821
1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,6.550136179487179
1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,5.86363853846154
1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,5.8616597368421
0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0.478926921052632
0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0.528323051282051
1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,6.52198284615385
1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2.03291538461538
1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,5.85854202564103
0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0.478703692307692
1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,6.530098564102559
0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0.5322155897435901
1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,5.84551712820513
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.4785443333333329
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10.7562264102564
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.7546414736842101
1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10.9212162307692
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.501547205128205
0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0.386080631578947
0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.751386666666667
1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10.773627897435901
1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10.9093499487179
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.510615487179487
1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10.7249887435897
0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.499134230769231
1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10.736432923076901
0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.756163307692308
0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.7420238205128199
1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10.9029474473684
1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,2.08431376923077
1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10.9054147631579
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.5022422820512821
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,10.731418641025599
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.7347294615384621
1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,10.892609282051302
0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.501298128205128
0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.741280897435897
1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,10.7425747692308
1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,10.91743365
0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.5030990256410259
0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0.526405769230769
1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,10.7292004358974
0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.49725589743589704
1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,10.7241724210526
0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.747503102564103
0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.7474162105263159
1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,10.9249083947368
1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,10.9099363421053
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.508516763157895
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,10.747504923076901
0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.772647
0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0.577441076923077
1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,10.943653
0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.510209459459459
0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.7711378717948721
1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,10.7449976052632
1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,10.9276094102564
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0.512415421052632
1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,10.702956131578901
0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0.517968473684211
1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,10.7099706923077
0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0.750785794871795
0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0.3762766052631579
0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0.7625584102564101
1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,10.9009974736842
1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,10.915849410256401
0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.5203099230769229
1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,10.7397864102564
0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.7715184358974359
1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,10.93962545
0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0.520164128205128
0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0.756900763157895
1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,10.7072054615385
0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0.389726868421053
1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,10.919232026315802
0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.5253685135135129
1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,10.7362442564103
0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0.5238872820512821
1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,10.7516961794872
0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.7729783589743591
0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0.749788868421053
1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,10.928371025641
1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,10.890371025641
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0.4838331794871789
1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,3.2374514615384604
1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,10.731499394736801
0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0.750755282051282
1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,10.9220752051282
0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0.49674810256410296
