$spouts,$max_spout,$topology_level,$netty_min_wait,$message_size,$bolts,$<throughput
1.00,1.00,2.00,10.00,10.00,1.00,7368.80
1.00,1.00,2.00,10.00,10.00,2.00,7238.50
1.00,1.00,2.00,10.00,10.00,3.00,7513.00
1.00,1.00,2.00,10.00,10.00,6.00,7438.60
1.00,1.00,2.00,10.00,100.00,1.00,7385.50
1.00,1.00,2.00,10.00,100.00,2.00,7311.40
1.00,1.00,2.00,10.00,100.00,3.00,7622.10
1.00,1.00,2.00,10.00,100.00,6.00,7412.90
1.00,1.00,2.00,10.00,1000.00,1.00,7335.80
1.00,1.00,2.00,10.00,1000.00,2.00,7433.50
1.00,1.00,2.00,10.00,1000.00,3.00,7628.60
1.00,1.00,2.00,10.00,1000.00,6.00,7486.10
1.00,1.00,2.00,10.00,10000.00,1.00,3995.90
1.00,1.00,2.00,10.00,10000.00,2.00,4236.50
1.00,1.00,2.00,10.00,10000.00,3.00,6467.30
1.00,1.00,2.00,10.00,10000.00,6.00,6251.50
1.00,1.00,2.00,10.00,100000.00,1.00,1983.70
1.00,1.00,2.00,10.00,100000.00,2.00,2257.70
1.00,1.00,2.00,10.00,100000.00,3.00,3450.30
1.00,1.00,2.00,10.00,100000.00,6.00,3603.10
1.00,1.00,2.00,10.00,1000000.00,1.00,340.33
1.00,1.00,2.00,10.00,1000000.00,2.00,329.82
1.00,1.00,2.00,10.00,1000000.00,3.00,508.78
1.00,1.00,2.00,10.00,1000000.00,6.00,507.06
1.00,1.00,2.00,100.00,10.00,1.00,7082.50
1.00,1.00,2.00,100.00,10.00,2.00,6999.10
1.00,1.00,2.00,100.00,10.00,3.00,7573.90
1.00,1.00,2.00,100.00,10.00,6.00,7605.20
1.00,1.00,2.00,100.00,100.00,1.00,7338.40
1.00,1.00,2.00,100.00,100.00,2.00,7057.40
1.00,1.00,2.00,100.00,100.00,3.00,7646.40
1.00,1.00,2.00,100.00,100.00,6.00,7711.20
1.00,1.00,2.00,100.00,1000.00,1.00,7318.90
1.00,1.00,2.00,100.00,1000.00,2.00,7088.30
1.00,1.00,2.00,100.00,1000.00,3.00,7168.20
1.00,1.00,2.00,1000.00,10.00,2.00,-124.57
1.00,1.00,2.00,1000.00,10.00,3.00,7531.90
1.00,1.00,2.00,1000.00,10.00,6.00,7420.70
1.00,1.00,2.00,1000.00,100.00,1.00,7324.40
1.00,1.00,2.00,1000.00,100.00,2.00,7372.80
1.00,1.00,2.00,1000.00,100.00,3.00,7465.80
1.00,1.00,2.00,1000.00,100.00,6.00,7273.10
1.00,1.00,2.00,1000.00,1000.00,1.00,7453.50
