$Base,$HostnameLookups,$KeepAlive,$EnableSendfile,$FollowSymLinks,$AccessLog,$ExtendedStatus,$InMemor1,$Handle,$<Performance
1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.707106781187,-0.707106781187,1200
1,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-0.707106781187,-0.707106781187,2100
1,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.41421356237,-0.707106781187,2310
1,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.41421356237,-0.707106781187,1260
1,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.41421356237,-0.707106781187,1140
1,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.41421356237,-0.707106781187,2100
1,-1.0,1.0,1.0,-1.0,1.0,1.0,1.41421356237,-0.707106781187,1980
1,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.41421356237,-0.707106781187,1110
1,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.41421356237,-0.707106781187,2160
1,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.41421356237,-0.707106781187,990
1,1.0,1.0,1.0,-1.0,1.0,-1.0,1.41421356237,-0.707106781187,1890
1,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.41421356237,-0.707106781187,1020
1,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-0.707106781187,-0.707106781187,1020
1,1.0,-1.0,1.0,-1.0,1.0,1.0,1.41421356237,-0.707106781187,960
1,1.0,1.0,1.0,-1.0,-1.0,1.0,1.41421356237,-0.707106781187,2160
1,1.0,1.0,1.0,-1.0,1.0,1.0,1.41421356237,-0.707106781187,1860
1,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.41421356237,-0.707106781187,1470
1,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.41421356237,-0.707106781187,2640
1,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.41421356237,-0.707106781187,1380
1,-1.0,1.0,1.0,1.0,-1.0,1.0,1.41421356237,-0.707106781187,2430
1,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.41421356237,-0.707106781187,1140
1,1.0,-1.0,1.0,1.0,-1.0,1.0,1.41421356237,-0.707106781187,1080
1,1.0,1.0,1.0,1.0,-1.0,-1.0,1.41421356237,-0.707106781187,2340
1,-1.0,1.0,-1.0,1.0,1.0,-1.0,-0.707106781187,-0.707106781187,1830
1,1.0,1.0,1.0,1.0,-1.0,1.0,1.41421356237,-0.707106781187,2190
1,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.41421356237,-0.707106781187,1260
1,-1.0,1.0,1.0,1.0,1.0,-1.0,1.41421356237,-0.707106781187,2190
1,1.0,-1.0,1.0,1.0,1.0,-1.0,1.41421356237,-0.707106781187,1020
1,1.0,1.0,1.0,1.0,1.0,-1.0,1.41421356237,-0.707106781187,2100
1,-1.0,-1.0,1.0,1.0,1.0,1.0,1.41421356237,-0.707106781187,1230
