spouts,max_spout,topology_level,netty_min_wait,message_size,bolts,latency
1.00,1.00,2.00,10.00,10.00,1.00,1.35
1.00,1.00,2.00,10.00,10.00,2.00,1.31
1.00,1.00,2.00,10.00,10.00,3.00,1.21
1.00,1.00,2.00,10.00,10.00,6.00,1.23
1.00,1.00,2.00,10.00,100.00,1.00,1.33
1.00,1.00,2.00,10.00,100.00,2.00,1.33
1.00,1.00,2.00,10.00,100.00,3.00,1.21
1.00,1.00,2.00,10.00,100.00,6.00,1.22
1.00,1.00,2.00,10.00,1000.00,1.00,1.35
1.00,1.00,2.00,10.00,1000.00,2.00,1.32
1.00,1.00,2.00,10.00,1000.00,3.00,1.21
1.00,1.00,2.00,10.00,1000.00,6.00,2.72
1.00,1.00,2.00,10.00,10000.00,1.00,2.39
1.00,1.00,2.00,10.00,10000.00,2.00,2.28
1.00,1.00,2.00,10.00,10000.00,3.00,1.52
1.00,1.00,2.00,10.00,10000.00,6.00,1.50
1.00,1.00,2.00,10.00,100000.00,1.00,5.00
1.00,1.00,2.00,10.00,100000.00,2.00,4.77
1.00,1.00,2.00,10.00,100000.00,3.00,3.07
1.00,1.00,2.00,10.00,100000.00,6.00,2.88
1.00,1.00,2.00,10.00,1000000.00,1.00,28.46
1.00,1.00,2.00,10.00,1000000.00,2.00,27.99
1.00,1.00,2.00,10.00,1000000.00,3.00,17.67
1.00,1.00,2.00,10.00,1000000.00,6.00,19.07
1.00,1.00,2.00,100.00,10.00,1.00,1.31
1.00,1.00,2.00,100.00,10.00,2.00,1.32
1.00,1.00,2.00,100.00,10.00,3.00,1.26
1.00,1.00,2.00,100.00,10.00,6.00,1.23
1.00,1.00,2.00,100.00,100.00,1.00,1.30
1.00,1.00,2.00,100.00,100.00,2.00,1.31
1.00,1.00,2.00,100.00,100.00,3.00,1.23
1.00,1.00,2.00,100.00,100.00,6.00,1.25
1.00,1.00,2.00,100.00,1000.00,1.00,1.31
1.00,1.00,2.00,100.00,1000.00,2.00,1.40
1.00,1.00,2.00,100.00,1000.00,3.00,1.23
