width,complexity,fifo,multiplier,inv_runtime
3,1,4,1,4.33936051
3,1,1,1,4.309193816
3,1,2,100,5.066154451
4,0,4,20,5.096536076
4,0,1,20,5.096536076
4,0,2,20,5.096536076
4,0,3,20,5.096536076
4,0,4,5,5.041577674
4,0,1,5,5.041574063
4,0,2,5,5.041577674
4,0,3,5,5.041577674
4,0,4,50,5.101620629
4,0,1,50,5.101620629
3,1,3,100,5.066154451
4,0,2,50,5.101620629
4,0,3,50,5.101620629
5,1,4,1,4.79503586
5,1,1,1,4.792766697
5,1,2,1,4.79503586
5,1,3,1,4.79503586
5,1,4,10,5.093914226
5,1,1,10,5.093870967
5,1,2,10,5.093912551
5,1,3,10,5.093914276
3,1,4,2,4.679288806
5,1,4,100,5.117965171
5,1,1,100,5.117965171
5,1,2,100,5.117965171
5,1,3,100,5.117965171
5,1,4,2,4.953555274
5,1,1,2,4.952769374
5,1,2,2,4.953555274
5,1,3,2,4.953555274
5,1,4,20,5.107607992
5,1,1,20,5.107607992
3,1,1,2,4.667403539
5,1,2,20,5.107607992
5,1,3,20,5.107607992
5,1,4,5,5.058114363
5,1,1,5,5.057963691
5,1,2,5,5.058114363
5,1,3,5,5.058114363
5,1,4,50,5.114503927
5,1,1,50,5.114503927
5,1,2,50,5.114503927
5,1,3,50,5.114503927
3,1,2,2,4.679288806
5,0,4,1,4.837142461
5,0,1,1,4.83712609
5,0,2,1,4.837142461
5,0,3,1,4.837142461
5,0,4,10,5.099033291
5,0,1,10,5.099033588
5,0,2,10,5.099031659
5,0,3,10,5.09903161
5,0,4,100,5.117968127
5,0,1,100,5.117968127
3,1,3,2,4.679288806
5,0,2,100,5.117968127
5,0,3,100,5.117968127
5,0,4,2,4.97692226
5,0,1,2,4.976903632
5,0,2,2,4.97692226
5,0,3,2,4.97692226
5,0,4,20,5.110228707
5,0,1,20,5.110228707
5,0,2,20,5.110228707
5,0,3,20,5.110228707
3,1,4,20,5.046250314
5,0,4,5,5.068121424
5,0,1,5,5.068119779
5,0,2,5,5.068121424
5,0,3,5,5.068121424
5,0,4,50,5.115372185
5,0,1,50,5.115372185
5,0,2,50,5.115372185
5,0,3,50,5.115372185
6,1,4,1,4.850979895
6,1,1,1,4.850638689
3,1,1,20,5.046250314
6,1,2,1,4.850979895
6,1,3,1,4.850979895
6,1,4,10,5.097368445
6,1,1,10,5.097367013
6,1,2,10,5.097368445
6,1,3,10,5.097368445
6,1,4,100,5.121424796
6,1,1,100,5.121424796
6,1,2,100,5.121424796
6,1,3,100,5.121424796
3,1,2,20,5.046250314
6,1,4,2,4.983829961
6,1,1,2,4.983722136
6,1,2,2,4.983829961
6,1,3,2,4.983829961
6,1,4,20,5.111081381
6,1,1,20,5.111081381
6,1,2,20,5.111081381
6,1,3,20,5.111081381
6,1,4,5,5.0697917
6,1,1,5,5.069765971
3,1,3,20,5.046250314
6,1,2,5,5.0697917
6,1,3,5,5.0697917
6,1,4,50,5.117955552
6,1,1,50,5.117955552
6,1,2,50,5.117955552
6,1,3,50,5.117955552
6,0,4,1,4.894785504
6,0,1,1,4.89476559
6,0,2,1,4.894785504
6,0,3,1,4.894785504
3,1,2,1,4.33936051
3,1,4,5,4.927881398
6,0,4,10,5.102447958
6,0,1,10,5.102447958
6,0,2,10,5.102447958
6,0,3,10,5.102447958
6,0,4,100,5.121427207
6,0,1,100,5.121427207
6,0,2,100,5.121427207
6,0,3,100,5.121427207
6,0,4,2,5.00769312
6,0,1,2,5.007683559
3,1,1,5,4.925247532
6,0,2,2,5.00769312
6,0,3,2,5.00769312
6,0,4,20,5.11366646
6,0,1,20,5.11366646
6,0,2,20,5.11366646
6,0,3,20,5.11366646
6,0,4,5,5.07987808
6,0,1,5,5.079876372
6,0,2,5,5.07987808
6,0,3,5,5.07987808
3,1,2,5,4.927881398
6,0,4,50,5.118824889
6,0,1,50,5.118824889
6,0,2,50,5.118824889
6,0,3,50,5.118824889
7,1,1,1,4.878722314
7,1,2,1,4.878750454
7,1,3,1,4.878750454
7,1,1,10,5.099070723
3,1,3,5,4.927881398
7,1,2,10,5.099070723
7,1,3,10,5.099070723
7,1,1,100,5.123157473
7,1,2,100,5.123157473
7,1,3,100,5.123157473
7,1,1,2,4.998368761
7,1,2,2,4.998378999
7,1,3,2,4.998378999
3,1,4,50,5.059483872
7,1,1,20,5.112800375
7,1,2,20,5.112800375
7,1,3,20,5.112800375
7,1,1,5,5.073143505
7,1,2,5,5.07314603
7,1,3,5,5.07314603
7,1,1,50,5.119684617
3,1,1,50,5.059483872
7,1,2,50,5.119684617
7,1,3,50,5.119684617
7,0,1,1,4.923426501
7,0,2,1,4.923426501
7,0,1,10,5.104157682
7,0,2,10,5.104157682
3,1,2,50,5.059483872
7,0,1,100,5.123159887
7,0,2,100,5.123159887
7,0,1,2,5.022484651
7,0,2,2,5.022484651
7,0,1,20,5.115354732
3,1,3,50,5.059483872
7,0,2,20,5.115354732
7,0,1,5,5.083255384
7,0,2,5,5.083255384
7,0,1,50,5.120554394
7,0,2,50,5.120554394
3,0,4,1,4.401580549
3,0,1,1,4.401360964
3,1,3,1,4.33936051
3,0,2,1,4.401580549
3,0,3,1,4.401580549
3,0,4,10,5.029859649
3,0,1,10,5.029864975
3,0,2,10,5.029864975
3,0,3,10,5.029858801
3,0,4,100,5.066162087
3,0,1,100,5.066162087
3,0,2,100,5.066162087
3,0,3,100,5.066162087
3,1,4,10,5.020146292
3,0,4,2,4.71815563
3,0,1,2,4.718020678
3,0,2,2,4.71815563
3,0,3,2,4.71815563
3,0,4,20,5.051194744
3,0,1,20,5.051194744
3,0,2,20,5.051194744
3,0,3,20,5.051194744
3,0,4,5,4.946186618
3,0,1,5,4.946184483
3,1,1,10,5.019398421
3,0,2,5,4.946186618
3,0,3,5,4.946186618
3,0,4,50,5.061161897
3,0,1,50,5.061161897
3,0,2,50,5.061161897
3,0,3,50,5.061161897
4,1,4,1,4.68779634
4,1,1,1,4.676592316
4,1,2,1,4.68779634
4,1,3,1,4.68779634
3,1,2,10,5.02012911
4,1,4,10,5.080353221
4,1,1,10,5.080145742
4,1,2,10,5.080357077
4,1,3,10,5.08035737
4,1,4,100,5.104190483
4,1,1,100,5.104190483
4,1,2,100,5.104190483
4,1,3,100,5.104190483
4,1,4,2,4.892895336
4,1,1,2,4.889213047
3,1,3,10,5.020135758
4,1,2,2,4.892895336
4,1,3,2,4.892895336
4,1,4,20,5.093925707
4,1,1,20,5.093925707
4,1,2,20,5.093925707
4,1,3,20,5.093925707
4,1,4,5,5.031756014
4,1,1,5,5.031031867
4,1,2,5,5.031756014
4,1,3,5,5.031756014
3,1,4,100,5.066154451
4,1,4,50,5.100760951
4,1,1,50,5.100760951
4,1,2,50,5.100760951
4,1,3,50,5.100760951
4,0,4,1,4.726992878
4,0,1,1,4.726862484
4,0,2,1,4.726992878
4,0,3,1,4.726992917
4,0,4,10,5.085425876
4,0,1,10,5.085429501
3,1,1,100,5.066154451
4,0,2,10,5.085422986
4,0,3,10,5.085429403
4,0,4,100,5.104194403
4,0,1,100,5.104194403
4,0,2,100,5.104194403
4,0,3,100,5.104194403
4,0,4,2,4.915289944
4,0,1,2,4.915280585
4,0,2,2,4.915289944
4,0,3,2,4.915289944
