max_spout,spliters,counters,latency
1,1,1,2.5786
1,1,3,2.5385
1,1,6,2.5477
1,1,9,2.5699
1,1,12,2.6341
1,1,15,2.585
1,1,18,2.6116
1,2,1,2.6345
1,2,3,2.4483
1,2,6,2.4584
1,2,9,2.4867
1,2,12,2.4514
1,2,15,2.5676
1,2,18,2.4561
1,3,1,2.2345
1,3,3,2.2434
1,3,6,2.274
1,3,9,2.2873
1,3,12,2.2376
1,3,15,2.263
1,3,18,2.2561
1,6,1,2.3172
1,6,3,2.1844
1,6,6,2.1994
1,6,9,2.2659
1,6,12,2.2965
1,6,15,2.2694
1,6,18,2.2763
10,1,1,15.267
10,1,3,9.0425
10,1,6,8.4104
10,1,9,8.5116
10,1,12,8.4711
10,1,15,8.2902
10,1,18,8.6734
10,2,1,16.932
10,2,3,7.9557
10,2,6,6.2931
10,2,9,5.6942
10,2,12,5.9139
10,2,15,5.822
10,2,18,5.704
10,3,1,19.849
10,3,3,8.641
10,3,6,6.7821
10,3,9,6.8006
10,3,12,7.0763
10,3,15,6.9694
10,3,18,6.515
10,6,1,13.874
10,6,3,6.6913
10,6,6,5.4324
10,6,9,5.274
10,6,12,5.8555
10,6,15,5.2717
10,6,18,5.2977
100,1,1,142.45
100,1,3,66.278
100,1,6,62.246
100,1,9,62.512
100,1,12,57.635
100,1,15,62.345
100,1,18,51.009
100,2,1,137.63
100,2,3,60.38
100,2,6,52.464
100,2,9,46.646
100,2,12,39.596
100,2,15,36.861
100,2,18,38.097
100,3,1,131.92
100,3,3,61.224
100,3,6,55.609
100,3,9,51.502
100,3,12,58.286
100,3,15,57.099
100,3,18,59.478
100,6,1,123.03
100,6,3,47.348
100,6,6,46.838
100,6,9,41.581
100,6,12,35.825
100,6,15,42.093
100,6,18,35.91
1000,1,1,1310.1
1000,1,3,547.77
1000,1,6,540.98
1000,1,9,551.17
1000,1,12,494.29
1000,1,15,560.98
1000,1,18,465.92
1000,2,1,1269.1
1000,2,3,522.18
1000,2,6,399.13
1000,2,9,357.24
1000,2,12,348.49
1000,2,15,330.13
1000,2,18,334.44
1000,3,1,1305.9
1000,3,3,579.29
1000,3,6,555.68
1000,3,9,537.34
1000,3,12,523.63
1000,3,15,602.72
1000,3,18,501.84
1000,6,1,1299.1
1000,6,3,512.14
1000,6,6,343.85
1000,6,9,345.38
1000,6,12,419.31
1000,6,15,277.74
1000,6,18,372.5
10000,1,1,12596
10000,1,3,6876.6
10000,1,6,5990.6
10000,1,9,6255.3
10000,1,12,5861.8
10000,1,15,6260.9
10000,1,18,5709
10000,2,1,14710
10000,2,3,4735
10000,2,6,3923
10000,2,9,3751.1
10000,2,12,3379.6
10000,2,15,3523.8
10000,2,18,3380.6
10000,3,1,13166
10000,3,3,1943.9
10000,3,6,2153.4
10000,3,9,1781.6
10000,3,12,1760.2
10000,3,15,1717.1
10000,3,18,1792.1
10000,6,1,11121
10000,6,3,2194.6
10000,6,6,1266.6
10000,6,9,1220.9
10000,6,12,856.94
10000,6,15,809.05
10000,6,18,828.89
1.00E+05,1,1,74603
1.00E+05,1,3,57080
1.00E+05,1,6,51016
1.00E+05,1,9,49528
1.00E+05,1,12,49666
1.00E+05,1,15,45807
1.00E+05,1,18,46405
1.00E+05,2,1,83712
1.00E+05,2,3,37378
1.00E+05,2,6,36587
1.00E+05,2,9,34206
1.00E+05,2,12,34751
1.00E+05,2,15,33300
1.00E+05,2,18,28518
1.00E+05,3,1,64176
1.00E+05,3,3,1781.5
1.00E+05,3,6,2010.2
1.00E+05,3,9,1595.8
1.00E+05,3,12,1568.1
1.00E+05,3,15,1556.2
1.00E+05,3,18,1829.9
1.00E+05,6,1,61107
1.00E+05,6,3,2276.2
1.00E+05,6,6,869
1.00E+05,6,9,1057.5
1.00E+05,6,12,953.19
1.00E+05,6,15,985.57
1.00E+05,6,18,865.83
1.00E+06,1,1,93904
1.00E+06,1,3,77076
1.00E+06,1,6,79764
1.00E+06,1,9,85576
1.00E+06,1,12,84330
1.00E+06,1,15,83368
1.00E+06,1,18,83169
1.00E+06,2,1,70293
1.00E+06,2,3,90593
1.00E+06,2,6,82576
1.00E+06,2,9,52488
1.00E+06,2,12,73693
1.00E+06,2,15,71418
1.00E+06,2,18,76115
1.00E+06,3,1,78749
1.00E+06,3,3,2023.7
1.00E+06,3,6,1747.9
1.00E+06,3,9,1953.2
1.00E+06,3,12,1818.2
1.00E+06,3,15,1784.3
1.00E+06,3,18,1692.8
1.00E+06,6,1,46551
1.00E+06,6,3,1979.7
1.00E+06,6,6,1028
1.00E+06,6,9,911.97
1.00E+06,6,12,855.8
1.00E+06,6,15,812.2
1.00E+06,6,18,1019.7
