spout_wait,spliters,counters,throughput
1,1,1,8006.2
1,1,2,10818
1,1,3,11601
1,1,4,11537
1,1,5,12999
1,1,6,12285
1,1,7,12032
1,1,8,13630
1,1,9,12168
1,1,10,13055
1,1,11,14500
1,1,12,12239
1,1,13,12596
1,1,14,15891
1,1,15,13164
1,1,16,12781
1,1,17,16487
1,1,18,12962
1,2,1,8587.7
1,2,2,11514
1,2,3,12493
1,2,4,14253
1,2,5,14658
1,2,6,14244
1,2,7,15192
1,2,8,16267
1,2,9,15377
1,2,10,16738
1,2,11,16819
1,2,12,15830
1,2,13,16286
1,2,14,17417
1,2,15,16529
1,2,16,18331
1,2,17,18839
1,2,18,15819
1,3,1,7905.6
1,3,2,11995
1,3,3,13484
1,3,4,14334
1,3,5,14845
1,3,6,14644
1,3,7,16029
1,3,8,16550
1,3,9,17202
1,3,10,17784
1,3,11,17484
1,3,12,18268
1,3,13,18222
1,3,14,17396
1,3,15,19206
1,3,16,18801
1,3,17,19818
1,3,18,18647
1,4,1,8297.3
1,4,2,11975
1,4,3,13958
1,4,4,14204
1,4,5,15173
1,4,6,15596
1,4,7,15648
1,4,8,16533
1,4,9,15607
1,4,10,17669
1,4,11,17728
1,4,12,18493
1,4,13,18710
1,4,14,17538
1,4,15,18404
1,4,16,17685
1,4,17,19895
1,4,18,18807
1,5,1,8381.5
1,5,2,11395
1,5,3,13665
1,5,4,14629
1,5,5,14958
1,5,6,15394
1,5,7,15979
1,5,8,15568
1,5,9,17086
1,5,10,18338
1,5,11,17640
1,5,12,18590
1,5,13,18384
1,5,14,17701
1,5,15,19350
1,5,16,19524
1,5,17,20391
1,5,18,19409
1,6,1,8439.5
1,6,2,11370
1,6,3,13978
1,6,4,14036
1,6,5,14816
1,6,6,15571
1,6,7,14952
1,6,8,16616
1,6,9,17646
1,6,10,18354
1,6,11,18004
1,6,12,18961
1,6,13,17982
1,6,14,18238
1,6,15,19629
1,6,16,19256
1,6,17,20024
1,6,18,19152
2,1,1,8337.3
2,1,2,11726
2,1,3,12804
