spout,split,count,buffer-size,heap,throughput
1,1,1,2.62E+05,512,9260
1,1,1,2.62E+05,1024,9282.3
1,1,1,2.62E+05,2048,9375.7
1,1,1,1.05E+06,512,8945.8
1,1,1,1.05E+06,1024,9213.3
1,1,1,1.05E+06,2048,9453.5
1,1,1,5.24E+06,512,9267.3
1,1,1,5.24E+06,1024,9334.2
1,1,1,5.24E+06,2048,9249.4
1,1,1,1.05E+07,512,9083.2
1,1,1,1.05E+07,1024,9395.3
1,1,1,1.05E+07,2048,9314.8
1,1,1,1.05E+08,512,9283.7
1,1,1,1.05E+08,1024,9333.8
1,1,1,1.05E+08,2048,9023.6
1,1,2,2.62E+05,512,10871
1,1,2,2.62E+05,1024,10644
1,1,2,2.62E+05,2048,10703
1,1,2,1.05E+06,512,10750
1,1,2,1.05E+06,1024,11009
1,1,2,1.05E+06,2048,10820
1,1,2,5.24E+06,512,10991
1,1,2,5.24E+06,1024,10874
1,1,2,5.24E+06,2048,10917
1,1,2,1.05E+07,512,10803
1,1,2,1.05E+07,1024,10793
1,1,2,1.05E+07,2048,10839
1,1,2,1.05E+08,512,10979
1,1,2,1.05E+08,1024,10817
1,1,2,1.05E+08,2048,10620
1,1,3,2.62E+05,512,13009
1,1,3,2.62E+05,1024,12721
1,1,3,2.62E+05,2048,12463
1,1,3,1.05E+06,512,12901
1,1,3,1.05E+06,1024,2122.2
1,1,3,1.05E+06,2048,12633
1,1,3,5.24E+06,512,12959
1,1,3,5.24E+06,1024,12561
1,1,3,5.24E+06,2048,12171
1,1,3,1.05E+07,512,12597
1,1,3,1.05E+07,1024,12305
1,1,3,1.05E+07,2048,11983
1,1,3,1.05E+08,512,12503
1,1,3,1.05E+08,1024,12276
1,1,3,1.05E+08,2048,12221
1,1,6,2.62E+05,512,13551
1,1,6,2.62E+05,1024,14178
1,1,6,2.62E+05,2048,13516
1,1,6,1.05E+06,512,13677
1,1,6,1.05E+06,1024,14223
1,1,6,1.05E+06,2048,14074
1,1,6,5.24E+06,512,14672
1,1,6,5.24E+06,1024,13611
1,1,6,5.24E+06,2048,14277
1,1,6,1.05E+07,512,14290
1,1,6,1.05E+07,1024,13915
1,1,6,1.05E+07,2048,13955
1,1,6,1.05E+08,512,13599
1,1,6,1.05E+08,1024,14207
1,1,6,1.05E+08,2048,14702
1,1,9,2.62E+05,512,14975
1,1,9,2.62E+05,1024,14719
1,1,9,2.62E+05,2048,14570
1,1,9,1.05E+06,512,15293
1,1,9,1.05E+06,1024,15145
1,1,9,1.05E+06,2048,14318
1,1,9,5.24E+06,512,14748
1,1,9,5.24E+06,1024,14733
1,1,9,5.24E+06,2048,13940
1,1,9,1.05E+07,512,15037
1,1,9,1.05E+07,1024,13976
1,1,9,1.05E+07,2048,14557
1,1,9,1.05E+08,512,14117
1,1,9,1.05E+08,1024,14686
1,1,9,1.05E+08,2048,14722
1,1,12,2.62E+05,512,15337
1,1,12,2.62E+05,1024,15166
1,1,12,2.62E+05,2048,14905
1,1,12,1.05E+06,512,15001
1,1,12,1.05E+06,1024,14910
1,1,12,1.05E+06,2048,14646
1,1,12,5.24E+06,512,15059
1,1,12,5.24E+06,1024,14805
1,1,12,5.24E+06,2048,14589
1,1,12,1.05E+07,512,14767
1,1,12,1.05E+07,1024,14971
1,1,12,1.05E+07,2048,14742
1,1,12,1.05E+08,512,14220
1,1,12,1.05E+08,1024,14557
1,1,12,1.05E+08,2048,14527
1,2,1,2.62E+05,512,7914.2
1,2,1,2.62E+05,1024,7878.8
1,2,1,2.62E+05,2048,7965.2
1,2,1,1.05E+06,512,7828.6
1,2,1,1.05E+06,1024,7845.4
1,2,1,1.05E+06,2048,7811.1
1,2,1,5.24E+06,512,8074.2
1,2,1,5.24E+06,1024,7954.7
1,2,1,5.24E+06,2048,8056
1,2,1,1.05E+07,512,7890
1,2,1,1.05E+07,1024,8083.9
1,2,1,1.05E+07,2048,7978.3
1,2,1,1.05E+08,512,8012.6
1,2,1,1.05E+08,1024,8084.2
1,2,1,1.05E+08,2048,7810.2
1,2,2,2.62E+05,512,11323
1,2,2,2.62E+05,1024,11259
1,2,2,2.62E+05,2048,11125
1,2,2,1.05E+06,512,10718
1,2,2,1.05E+06,1024,11303
1,2,2,1.05E+06,2048,11100
1,2,2,5.24E+06,512,11235
1,2,2,5.24E+06,1024,10979
1,2,2,5.24E+06,2048,11311
1,2,2,1.05E+07,512,11302
1,2,2,1.05E+07,1024,11185
1,2,2,1.05E+07,2048,11154
1,2,2,1.05E+08,512,11123
1,2,2,1.05E+08,1024,11067
1,2,2,1.05E+08,2048,11455
1,2,3,2.62E+05,512,14411
1,2,3,2.62E+05,1024,14361
1,2,3,2.62E+05,2048,14302
1,2,3,1.05E+06,512,14327
1,2,3,1.05E+06,1024,14343
1,2,3,1.05E+06,2048,14099
1,2,3,5.24E+06,512,14573
1,2,3,5.24E+06,1024,14197
1,2,3,5.24E+06,2048,14608
1,2,3,1.05E+07,512,14060
1,2,3,1.05E+07,1024,14584
1,2,3,1.05E+07,2048,14101
1,2,3,1.05E+08,512,13996
1,2,3,1.05E+08,1024,14210
1,2,3,1.05E+08,2048,14328
1,2,6,2.62E+05,512,16959
1,2,6,2.62E+05,1024,17478
1,2,6,2.62E+05,2048,16825
1,2,6,1.05E+06,512,17898
1,2,6,1.05E+06,1024,17299
1,2,6,1.05E+06,2048,17542
1,2,6,5.24E+06,512,17189
1,2,6,5.24E+06,1024,17406
1,2,6,5.24E+06,2048,16684
1,2,6,1.05E+07,512,16393
1,2,6,1.05E+07,1024,17130
1,2,6,1.05E+07,2048,17418
1,2,6,1.05E+08,512,17083
1,2,6,1.05E+08,1024,17497
1,2,6,1.05E+08,2048,16455
1,2,9,2.62E+05,512,18928
