spout_wait,spliters,counters,latency
1,1,1,503.02
1,1,2,384.57
1,1,3,372.64
1,1,4,414.98
1,1,5,404.29
1,1,6,354.09
1,1,7,393.85
1,1,8,384.95
1,1,9,400.27
1,1,10,361.51
1,1,11,354.71
1,1,12,384.22
1,1,13,418.19
1,1,14,398.64
1,1,15,384.66
1,1,16,399.54
1,1,17,378.72
1,1,18,384.31
1,2,1,364.95
1,2,2,314.55
1,2,3,319.03
1,2,4,329.55
1,2,5,307.32
1,2,6,325.32
1,2,7,313.45
1,2,8,307.22
1,2,9,310.57
1,2,10,314.64
1,2,11,312.75
1,2,12,306.24
1,2,13,300.43
1,2,14,317.24
1,2,15,309.71
1,2,16,328.65
1,2,17,287.27
1,2,18,310.09
1,3,1,286.39
1,3,2,265.26
1,3,3,289.29
1,3,4,290.05
1,3,5,283.66
1,3,6,294.35
1,3,7,281.69
1,3,8,285.11
1,3,9,265.39
1,3,10,287.62
1,3,11,270.49
1,3,12,272.83
1,3,13,264.22
1,3,14,272.87
1,3,15,281.63
1,3,16,270.07
1,3,17,263.71
1,3,18,263.14
1,4,1,276.56
1,4,2,295.74
1,4,3,305.17
1,4,4,286.45
1,4,5,286.84
1,4,6,281
1,4,7,282.2
1,4,8,292.8
1,4,9,266.68
1,4,10,270.57
1,4,11,275.67
1,4,12,282.76
1,4,13,270.13
1,4,14,288.16
1,4,15,275.56
1,4,16,275.03
1,4,17,280.22
1,4,18,268.05
1,5,1,273.54
1,5,2,291.24
1,5,3,283.79
1,5,4,289.61
1,5,5,281.33
1,5,6,278.02
1,5,7,275.25
1,5,8,274.23
1,5,9,267.21
1,5,10,287.83
1,5,11,261.07
1,5,12,261.91
1,5,13,276.75
1,5,14,267.26
1,5,15,272.98
1,5,16,264.55
1,5,17,268.18
1,5,18,265.69
1,6,1,275.92
1,6,2,273.26
1,6,3,283.06
1,6,4,290.38
1,6,5,282.01
1,6,6,271.78
1,6,7,278.68
1,6,8,280.18
1,6,9,279.38
1,6,10,269.66
1,6,11,274.74
1,6,12,271.54
1,6,13,262.29
1,6,14,282.96
1,6,15,253.93
1,6,16,270.12
1,6,17,268.72
1,6,18,265.93
2,1,1,462.69
2,1,2,415.58
2,1,3,387.76
2,1,4,419.62
2,1,5,357
2,1,6,373.04
2,1,7,391.23
2,1,8,394.49
2,1,9,394.18
2,1,10,385.49
2,1,11,402.31
2,1,12,393.2
2,1,13,388.63
2,1,14,361.05
2,1,15,366.02
2,1,16,403.02
2,1,17,387.8
2,1,18,384.03
2,2,1,351.3
2,2,2,308.45
2,2,3,333.37
2,2,4,341.65
2,2,5,322.27
2,2,6,313.69
2,2,7,312.04
2,2,8,305.01
2,2,9,311.97
2,2,10,311.41
2,2,11,293.55
2,2,12,319.76
2,2,13,307.6
2,2,14,296.31
2,2,15,299
2,2,16,309.22
2,2,17,298.16
2,2,18,318.52
2,3,1,276.16
2,3,2,277.71
2,3,3,292.05
2,3,4,288.85
2,3,5,290.47
2,3,6,288.28
2,3,7,288.98
2,3,8,282.73
2,3,9,278.57
2,3,10,286
2,3,11,284.85
2,3,12,274.53
2,3,13,272.9
2,3,14,262.77
2,3,15,281.06
2,3,16,276.04
2,3,17,272.45
2,3,18,273.89
2,4,1,281.2
2,4,2,270.49
2,4,3,298.91
2,4,4,290.41
2,4,5,276.15
2,4,6,290.76
2,4,7,276.14
2,4,8,274.13
2,4,9,275.8
2,4,10,270.75
2,4,11,311.93
2,4,12,270.19
2,4,13,279.78
2,4,14,274.53
2,4,15,269.52
2,4,16,273.4
2,4,17,270.8
2,4,18,269.13
2,5,1,275.29
2,5,2,265.88
2,5,3,285.11
2,5,4,287.58
2,5,5,291.64
2,5,6,285.15
2,5,7,281.05
2,5,8,273.77
2,5,9,277.4
2,5,10,281.16
2,5,11,272.22
2,5,12,266.62
2,5,13,292.02
2,5,14,263.75
2,5,15,263.62
2,5,16,274.27
2,5,17,264.43
2,5,18,264.47
2,6,1,269.82
2,6,2,287.98
2,6,3,288.03
2,6,4,273.64
2,6,5,281.18
2,6,6,277.88
2,6,7,282.11
2,6,8,266.13
2,6,9,273.86
2,6,10,270.19
2,6,11,271.97
2,6,12,276.16
2,6,13,264.44
2,6,14,265.87
2,6,15,250.48
2,6,16,267.29
2,6,17,282.65
2,6,18,266.44
3,1,1,491.43
3,1,2,420.23
3,1,3,379.96
3,1,4,398.76
3,1,5,368.25
3,1,6,360
3,1,7,379.98
3,1,8,401.21
3,1,9,359.25
3,1,10,358.95
3,1,11,361.09
3,1,12,374.83
3,1,13,365.42
3,1,14,381.84
3,1,15,375
3,1,16,378.26
3,1,17,398.52
3,1,18,365.52
3,2,1,326.32
3,2,2,312.83
3,2,3,320.83
3,2,4,340.62
3,2,5,316.45
3,2,6,321.72
3,2,7,320.99
3,2,8,321.19
3,2,9,304.48
3,2,10,297.76
3,2,11,304.17
