spout,split,count,buffer-size,heap,latency
1,1,1,2.62E+05,512,104.57
1,1,1,2.62E+05,1024,103.32
1,1,1,2.62E+05,2048,101.58
1,1,1,1.05E+06,512,110.33
1,1,1,1.05E+06,1024,102.99
1,1,1,1.05E+06,2048,101.19
1,1,1,5.24E+06,512,107.04
1,1,1,5.24E+06,1024,102.94
1,1,1,5.24E+06,2048,103.98
1,1,1,1.05E+07,512,106.7
1,1,1,1.05E+07,1024,104.4
1,1,1,1.05E+07,2048,102.73
1,1,1,1.05E+08,512,103.14
1,1,1,1.05E+08,1024,102.77
1,1,1,1.05E+08,2048,110.07
1,1,2,2.62E+05,512,90.738
1,1,2,2.62E+05,1024,92.735
1,1,2,2.62E+05,2048,92.15
1,1,2,1.05E+06,512,90.004
1,1,2,1.05E+06,1024,90.522
1,1,2,1.05E+06,2048,93.632
1,1,2,5.24E+06,512,90.148
1,1,2,5.24E+06,1024,90.62
1,1,2,5.24E+06,2048,89.624
1,1,2,1.05E+07,512,91.932
1,1,2,1.05E+07,1024,92.613
1,1,2,1.05E+07,2048,91.767
1,1,2,1.05E+08,512,89.199
1,1,2,1.05E+08,1024,92.744
1,1,2,1.05E+08,2048,92.693
1,1,3,2.62E+05,512,75.129
1,1,3,2.62E+05,1024,77.152
1,1,3,2.62E+05,2048,79.078
1,1,3,1.05E+06,512,77.71
1,1,3,1.05E+06,1024,167.26
1,1,3,1.05E+06,2048,78.619
1,1,3,5.24E+06,512,76.212
1,1,3,5.24E+06,1024,79.292
1,1,3,5.24E+06,2048,81.11
1,1,3,1.05E+07,512,80.093
1,1,3,1.05E+07,1024,82.948
1,1,3,1.05E+07,2048,80.941
1,1,3,1.05E+08,512,80.717
1,1,3,1.05E+08,1024,82.332
1,1,3,1.05E+08,2048,79.187
1,1,6,2.62E+05,512,71.47
1,1,6,2.62E+05,1024,68.567
1,1,6,2.62E+05,2048,71.818
1,1,6,1.05E+06,512,73.65
1,1,6,1.05E+06,1024,67.023
1,1,6,1.05E+06,2048,69.475
1,1,6,5.24E+06,512,66.689
1,1,6,5.24E+06,1024,70.129
1,1,6,5.24E+06,2048,68.234
1,1,6,1.05E+07,512,68.155
1,1,6,1.05E+07,1024,69.791
1,1,6,1.05E+07,2048,69.705
1,1,6,1.05E+08,512,73.403
1,1,6,1.05E+08,1024,69.085
1,1,6,1.05E+08,2048,65.645
1,1,9,2.62E+05,512,65.207
1,1,9,2.62E+05,1024,65.299
1,1,9,2.62E+05,2048,66.392
1,1,9,1.05E+06,512,63.421
1,1,9,1.05E+06,1024,64.861
1,1,9,1.05E+06,2048,68.578
1,1,9,5.24E+06,512,65.825
1,1,9,5.24E+06,1024,65.498
1,1,9,5.24E+06,2048,72.766
1,1,9,1.05E+07,512,64.194
1,1,9,1.05E+07,1024,67.493
1,1,9,1.05E+07,2048,69.437
1,1,9,1.05E+08,512,68.127
1,1,9,1.05E+08,1024,65.76
1,1,9,1.05E+08,2048,66.798
1,1,12,2.62E+05,512,64.027
1,1,12,2.62E+05,1024,63.527
1,1,12,2.62E+05,2048,64.588
1,1,12,1.05E+06,512,66.233
1,1,12,1.05E+06,1024,67.445
1,1,12,1.05E+06,2048,68.492
1,1,12,5.24E+06,512,63.972
1,1,12,5.24E+06,1024,68.305
1,1,12,5.24E+06,2048,65.733
1,1,12,1.05E+07,512,65.394
1,1,12,1.05E+07,1024,64.789
1,1,12,1.05E+07,2048,66.966
1,1,12,1.05E+08,512,66.596
1,1,12,1.05E+08,1024,66.947
1,1,12,1.05E+08,2048,67.116
1,2,1,2.62E+05,512,130
1,2,1,2.62E+05,1024,125.61
1,2,1,2.62E+05,2048,124.28
1,2,1,1.05E+06,512,129.22
1,2,1,1.05E+06,1024,126.82
1,2,1,1.05E+06,2048,127.36
1,2,1,5.24E+06,512,124.25
1,2,1,5.24E+06,1024,126.38
1,2,1,5.24E+06,2048,124.54
1,2,1,1.05E+07,512,126.63
1,2,1,1.05E+07,1024,124.77
1,2,1,1.05E+07,2048,122.71
1,2,1,1.05E+08,512,126.01
1,2,1,1.05E+08,1024,123.81
1,2,1,1.05E+08,2048,127.93
1,2,2,2.62E+05,512,86.081
1,2,2,2.62E+05,1024,85.93
1,2,2,2.62E+05,2048,86.779
1,2,2,1.05E+06,512,89.321
1,2,2,1.05E+06,1024,85.569
1,2,2,1.05E+06,2048,88.202
1,2,2,5.24E+06,512,85.496
1,2,2,5.24E+06,1024,90.24
1,2,2,5.24E+06,2048,86.368
1,2,2,1.05E+07,512,83.442
1,2,2,1.05E+07,1024,86.291
1,2,2,1.05E+07,2048,87.62
1,2,2,1.05E+08,512,88.986
1,2,2,1.05E+08,1024,87.06
1,2,2,1.05E+08,2048,83.516
1,2,3,2.62E+05,512,69.1
1,2,3,2.62E+05,1024,67.604
1,2,3,2.62E+05,2048,67.396
1,2,3,1.05E+06,512,67.328
1,2,3,1.05E+06,1024,67.011
1,2,3,1.05E+06,2048,68.713
1,2,3,5.24E+06,512,68.835
1,2,3,5.24E+06,1024,69.457
1,2,3,5.24E+06,2048,65.23
1,2,3,1.05E+07,512,72.272
1,2,3,1.05E+07,1024,66.234
1,2,3,1.05E+07,2048,70.731
1,2,3,1.05E+08,512,70.993
1,2,3,1.05E+08,1024,68.822
1,2,3,1.05E+08,2048,67.434
1,2,6,2.62E+05,512,56.933
1,2,6,2.62E+05,1024,55.122
1,2,6,2.62E+05,2048,60.046
1,2,6,1.05E+06,512,54.633
1,2,6,1.05E+06,1024,55.711
1,2,6,1.05E+06,2048,55.96
1,2,6,5.24E+06,512,57.059
1,2,6,5.24E+06,1024,54.938
1,2,6,5.24E+06,2048,59.877
1,2,6,1.05E+07,512,61.68
1,2,6,1.05E+07,1024,60.02
1,2,6,1.05E+07,2048,55.344
1,2,6,1.05E+08,512,57.549
1,2,6,1.05E+08,1024,54.146
1,2,6,1.05E+08,2048,61.412
1,2,9,2.62E+05,512,52.784
1,2,9,2.62E+05,1024,51.331
1,2,9,2.62E+05,2048,47.622
1,2,9,1.05E+06,512,52.377
1,2,9,1.05E+06,1024,51.318
1,2,9,1.05E+06,2048,51.458
1,2,9,5.24E+06,512,50.401
1,2,9,5.24E+06,1024,49.527
1,2,9,5.24E+06,2048,53.326
1,2,9,1.05E+07,512,51.911
1,2,9,1.05E+07,1024,48.667
1,2,9,1.05E+07,2048,49.453
1,2,9,1.05E+08,512,51.98
1,2,9,1.05E+08,1024,49.111
1,2,9,1.05E+08,2048,50.391
1,2,12,2.62E+05,512,47.652
1,2,12,2.62E+05,1024,47.513
1,2,12,2.62E+05,2048,49.505
1,2,12,1.05E+06,512,49.017
1,2,12,1.05E+06,1024,50.673
1,2,12,1.05E+06,2048,51.311
1,2,12,5.24E+06,512,47.387
1,2,12,5.24E+06,1024,48.677
1,2,12,5.24E+06,2048,51.366
1,2,12,1.05E+07,512,48.45
1,2,12,1.05E+07,1024,48.387
1,2,12,1.05E+07,2048,51.406
1,2,12,1.05E+08,512,49.514
1,2,12,1.05E+08,1024,48.214
1,2,12,1.05E+08,2048,48.337
1,3,1,2.62E+05,512,114.51
1,3,1,2.62E+05,1024,111.58
1,3,1,2.62E+05,2048,109.16
1,3,1,1.05E+06,512,111.33
1,3,1,1.05E+06,1024,115.72
1,3,1,1.05E+06,2048,113.69
1,3,1,5.24E+06,512,110.88
1,3,1,5.24E+06,1024,110.74
1,3,1,5.24E+06,2048,114.93
1,3,1,1.05E+07,512,115.51
1,3,1,1.05E+07,1024,112.96
1,3,1,1.05E+07,2048,110.72
1,3,1,1.05E+08,512,112.78
1,3,1,1.05E+08,1024,113.82
1,3,1,1.05E+08,2048,115.66
1,3,2,2.62E+05,512,85.765
1,3,2,2.62E+05,1024,81.884
1,3,2,2.62E+05,2048,83.852
1,3,2,1.05E+06,512,83.951
1,3,2,1.05E+06,1024,80.612
1,3,2,1.05E+06,2048,84.664
1,3,2,5.24E+06,512,84.692
1,3,2,5.24E+06,1024,83.769
1,3,2,5.24E+06,2048,80.556
1,3,2,1.05E+07,512,81.587
1,3,2,1.05E+07,1024,82.684
1,3,2,1.05E+07,2048,82.358
1,3,2,1.05E+08,512,83.214
1,3,2,1.05E+08,1024,81.936
1,3,2,1.05E+08,2048,84.691
1,3,3,2.62E+05,512,77.368
1,3,3,2.62E+05,1024,79.646
1,3,3,2.62E+05,2048,78.132
1,3,3,1.05E+06,512,76.613
1,3,3,1.05E+06,1024,79.256
1,3,3,1.05E+06,2048,80.989
1,3,3,5.24E+06,512,79.583
1,3,3,5.24E+06,1024,75.422
1,3,3,5.24E+06,2048,81.16
1,3,3,1.05E+07,512,78.38
1,3,3,1.05E+07,1024,80.767
1,3,3,1.05E+07,2048,81.158
1,3,3,1.05E+08,512,79.414
1,3,3,1.05E+08,1024,77.475
1,3,3,1.05E+08,2048,79.703
1,3,6,2.62E+05,512,70.066
1,3,6,2.62E+05,1024,75.441
1,3,6,2.62E+05,2048,77.458
1,3,6,1.05E+06,512,78.001
1,3,6,1.05E+06,1024,74.61
1,3,6,1.05E+06,2048,77.761
1,3,6,5.24E+06,512,72.203
1,3,6,5.24E+06,1024,73.688
1,3,6,5.24E+06,2048,73.094
1,3,6,1.05E+07,512,72.387
1,3,6,1.05E+07,1024,78.924
1,3,6,1.05E+07,2048,77.046
1,3,6,1.05E+08,512,76.743
1,3,6,1.05E+08,1024,71.95
1,3,6,1.05E+08,2048,73.217
1,3,9,2.62E+05,512,75.039
1,3,9,2.62E+05,1024,73.809
1,3,9,2.62E+05,2048,73.267
1,3,9,1.05E+06,512,72.712
1,3,9,1.05E+06,1024,79.374
1,3,9,1.05E+06,2048,76.017
1,3,9,5.24E+06,512,76.528
1,3,9,5.24E+06,1024,74.668
1,3,9,5.24E+06,2048,70.247
1,3,9,1.05E+07,512,72.372
1,3,9,1.05E+07,1024,71.982
1,3,9,1.05E+07,2048,74.176
1,3,9,1.05E+08,512,78.109
