max_spout,spliters,counters,latency
1,1,1,2.5621
1,1,3,2.6057
1,1,6,2.55
1,1,9,2.5688
1,1,12,2.5474
1,1,15,2.5676
1,1,18,2.5503
1,2,1,4.7793
1,2,3,2.381
1,2,6,2.3538
1,2,9,2.4306
1,2,12,2.3965
1,2,15,2.4462
1,2,18,2.4647
1,3,1,2.1598
1,3,3,3.5506
1,3,6,2.1283
1,3,9,2.1468
1,3,12,3.0358
1,3,15,2.2173
1,3,18,2.1277
1,6,1,2.1626
1,6,3,2.0815
1,6,6,2.1376
1,6,9,2.1503
1,6,12,2.2277
1,6,15,2.1468
1,6,18,2.2277
10,1,1,13.733
10,1,3,9.2121
10,1,6,8.1247
10,1,9,7.5491
10,1,12,7.1335
10,1,15,7.3717
10,1,18,7.3965
10,2,1,15.859
10,2,3,8.1471
10,2,6,6.481
10,2,9,6.2867
10,2,12,5.7734
10,2,15,5.6023
10,2,18,5.641
10,3,1,13.865
10,3,3,7.6695
10,3,6,7.2908
10,3,9,6.5827
10,3,12,6.2694
10,3,15,6.2798
10,3,18,7.2948
10,6,1,13.959
10,6,3,7.0838
10,6,6,5.2988
10,6,9,5.0202
10,6,12,4.9185
10,6,15,5.0006
10,6,18,5.0711
100,1,1,135.2
100,1,3,75.825
100,1,6,61.409
100,1,9,62.08
100,1,12,55.886
100,1,15,53.539
100,1,18,56.687
100,2,1,117.57
100,2,3,65.437
100,2,6,53.103
100,2,9,43.247
100,2,12,40.169
100,2,15,46.001
100,2,18,39.447
100,3,1,132.78
100,3,3,65.185
100,3,6,58
100,3,9,54.396
100,3,12,56.731
100,3,15,51.463
100,3,18,53.927
100,6,1,116.13
100,6,3,55.501
100,6,6,48.702
100,6,9,37.915
100,6,12,41.478
100,6,15,32.286
100,6,18,33.092
1000,1,1,1063.6
1000,1,3,553.74
1000,1,6,511.62
1000,1,9,467.36
1000,1,12,470.82
1000,1,15,439.35
1000,1,18,419.91
1000,2,1,1239.5
1000,2,3,518.71
1000,2,6,463.33
1000,2,9,398.1
1000,2,12,332.68
1000,2,15,321.53
1000,2,18,341.28
1000,3,1,1105.8
1000,3,3,595.91
1000,3,6,549.73
1000,3,9,521.23
1000,3,12,501.11
1000,3,15,468.71
1000,3,18,482.7
1000,6,1,1038.1
1000,6,3,465.98
1000,6,6,310.14
1000,6,9,330.79
1000,6,12,273.88
1000,6,15,251.19
1000,6,18,336.78
10000,1,1,11175
10000,1,3,4961.1
10000,1,6,4304.9
10000,1,9,3340.5
10000,1,12,5131.3
10000,1,15,4748.4
10000,1,18,4563.6
10000,2,1,13541
10000,2,3,5447.8
10000,2,6,3740
10000,2,9,3483.2
10000,2,12,3138.8
10000,2,15,2972
10000,2,18,3296.5
10000,3,1,8988
10000,3,3,1981.7
10000,3,6,1658.8
10000,3,9,1802.8
10000,3,12,1691.8
10000,3,15,1524.7
10000,3,18,1384.5
10000,6,1,1439.6
10000,6,3,1956.1
10000,6,6,815.83
10000,6,9,1145.3
10000,6,12,1047.6
10000,6,15,1007.9
10000,6,18,1099.8
1.00E+05,1,1,53025
1.00E+05,1,3,51009
1.00E+05,1,6,25993
1.00E+05,1,9,17797
1.00E+05,1,12,41428
1.00E+05,1,15,41317
1.00E+05,1,18,41498
1.00E+05,2,1,79248
1.00E+05,2,3,38738
1.00E+05,2,6,35249
1.00E+05,2,9,27780
1.00E+05,2,12,29871
1.00E+05,2,15,27907
1.00E+05,2,18,28692
1.00E+05,3,1,24535
1.00E+05,3,3,1806.9
1.00E+05,3,6,1821.7
1.00E+05,3,9,2033.3
1.00E+05,3,12,1535.9
1.00E+05,3,15,1579.7
1.00E+05,3,18,1635.1
1.00E+05,6,1,6540.8
1.00E+05,6,3,1891.2
1.00E+05,6,6,1151.3
1.00E+05,6,9,1024
1.00E+05,6,12,928.18
1.00E+05,6,15,834.61
1.00E+05,6,18,776.38
1.00E+06,1,1,83233
1.00E+06,1,3,53632
1.00E+06,1,6,36772
1.00E+06,1,9,24516
1.00E+06,1,12,73740
1.00E+06,1,15,74403
1.00E+06,1,18,65193
1.00E+06,2,1,72496
1.00E+06,2,3,94541
1.00E+06,2,6,1.05E+05
1.00E+06,2,9,70551
1.00E+06,2,12,77350
1.00E+06,2,15,87048
1.00E+06,2,18,46988
1.00E+06,3,1,32624
1.00E+06,3,3,1814.2
1.00E+06,3,6,1592.6
1.00E+06,3,9,1713.3
1.00E+06,3,12,1764.9
1.00E+06,3,15,1711.5
1.00E+06,3,18,1817.5
1.00E+06,6,1,961.88
1.00E+06,6,3,2143
1.00E+06,6,6,856.82
1.00E+06,6,9,1218
1.00E+06,6,12,976.39
1.00E+06,6,15,974.89
1.00E+06,6,18,979.55
