spouts,max_spout,sorters,emit_freq,chunk_size,message_size,throughput
1.000,10.000,1.000,1.000,100000.000,1000.000,22657
1.000,10.000,1.000,1.000,100000.000,10000.000,3596.3
1.000,10.000,1.000,1.000,100000.000,100000.000,112.56
1.000,10.000,1.000,1.000,1000000.000,1000.000,12273
1.000,10.000,1.000,1.000,1000000.000,10000.000,1174.9
1.000,10.000,1.000,1.000,1000000.000,100000.000,111.88
1.000,10.000,1.000,1.000,2000000.000,1000.000,12024
1.000,10.000,1.000,1.000,2000000.000,10000.000,1151.3
1.000,10.000,1.000,1.000,2000000.000,100000.000,94.294
1.000,10.000,1.000,1.000,10000000.000,1000.000,11552
1.000,10.000,1.000,1.000,10000000.000,10000.000,1228.1
1.000,10.000,1.000,1.000,10000000.000,100000.000,102.29
1.000,10.000,1.000,10.000,100000.000,1000.000,25978
1.000,10.000,1.000,10.000,100000.000,10000.000,10112
1.000,10.000,1.000,10.000,100000.000,100000.000,1023.8
1.000,10.000,1.000,10.000,1000000.000,1000.000,24147
1.000,10.000,1.000,10.000,1000000.000,10000.000,8400.2
1.000,10.000,1.000,10.000,1000000.000,100000.000,1197.4
1.000,10.000,1.000,10.000,2000000.000,1000.000,22858
1.000,10.000,1.000,10.000,2000000.000,10000.000,7141.3
1.000,10.000,1.000,10.000,2000000.000,100000.000,1095.1
1.000,10.000,1.000,10.000,10000000.000,1000.000,22693
1.000,10.000,1.000,10.000,10000000.000,10000.000,6281.5
1.000,10.000,1.000,10.000,10000000.000,100000.000,951.27
1.000,10.000,1.000,60.000,100000.000,1000.000,25862
1.000,10.000,1.000,60.000,100000.000,10000.000,10859
1.000,10.000,1.000,60.000,100000.000,100000.000,1128.8
1.000,10.000,1.000,60.000,1000000.000,1000.000,23553
1.000,10.000,1.000,60.000,1000000.000,10000.000,9734.3
1.000,10.000,1.000,60.000,1000000.000,100000.000,982
1.000,10.000,1.000,60.000,2000000.000,1000.000,25408
1.000,10.000,1.000,60.000,2000000.000,10000.000,7993.9
1.000,10.000,1.000,60.000,2000000.000,100000.000,1056.6
1.000,10.000,1.000,60.000,10000000.000,1000.000,25151
1.000,10.000,1.000,60.000,10000000.000,10000.000,6490.1
1.000,10.000,1.000,60.000,10000000.000,100000.000,890.33
