spouts,max_spout,sorters,emit_freq,chunk_size,message_size,latency
1.000,10.000,1.000,1.000,100000.000,1000.000,3.9833
1.000,10.000,1.000,1.000,100000.000,10000.000,18.415
1.000,10.000,1.000,1.000,100000.000,100000.000,217.63
1.000,10.000,1.000,1.000,1000000.000,1000.000,5.1952
1.000,10.000,1.000,1.000,1000000.000,10000.000,24.247
1.000,10.000,1.000,1.000,1000000.000,100000.000,205.49
1.000,10.000,1.000,1.000,2000000.000,1000.000,5.2935
1.000,10.000,1.000,1.000,2000000.000,10000.000,25.039
1.000,10.000,1.000,1.000,2000000.000,100000.000,220.62
1.000,10.000,1.000,1.000,10000000.000,1000.000,6.2867
1.000,10.000,1.000,1.000,10000000.000,10000.000,24.975
1.000,10.000,1.000,1.000,10000000.000,100000.000,236.19
1.000,10.000,1.000,10.000,100000.000,1000.000,3.4782
1.000,10.000,1.000,10.000,100000.000,10000.000,9.2847
1.000,10.000,1.000,10.000,100000.000,100000.000,83.236
1.000,10.000,1.000,10.000,1000000.000,1000.000,3.6594
1.000,10.000,1.000,10.000,1000000.000,10000.000,11.804
1.000,10.000,1.000,10.000,1000000.000,100000.000,73.786
1.000,10.000,1.000,10.000,2000000.000,1000.000,3.7151
1.000,10.000,1.000,10.000,2000000.000,10000.000,10.755
1.000,10.000,1.000,10.000,2000000.000,100000.000,78.624
1.000,10.000,1.000,10.000,10000000.000,1000.000,4.3637
1.000,10.000,1.000,10.000,10000000.000,10000.000,14.308
1.000,10.000,1.000,10.000,10000000.000,100000.000,71.492
1.000,10.000,1.000,60.000,100000.000,1000.000,3.8521
1.000,10.000,1.000,60.000,100000.000,10000.000,8.6452
1.000,10.000,1.000,60.000,100000.000,100000.000,79.862
1.000,10.000,1.000,60.000,1000000.000,1000.000,3.9048
1.000,10.000,1.000,60.000,1000000.000,10000.000,9.345
1.000,10.000,1.000,60.000,1000000.000,100000.000,66.852
1.000,10.000,1.000,60.000,2000000.000,1000.000,3.5738
1.000,10.000,1.000,60.000,2000000.000,10000.000,9.2784
1.000,10.000,1.000,60.000,2000000.000,100000.000,74.418
1.000,10.000,1.000,60.000,10000000.000,1000.000,4.3685
1.000,10.000,1.000,60.000,10000000.000,10000.000,12.267
1.000,10.000,1.000,60.000,10000000.000,100000.000,90.521
1.000,10.000,1.000,120.000,100000.000,1000.000,3.52
