spout_wait,spliters,counters,latency
1,1,1,419.16
1,1,2,316.58
1,1,3,286.42
1,1,4,292.69
1,1,5,237.04
1,1,6,288.02
1,1,7,275.01
1,1,8,228.6
1,1,9,268.84
1,1,10,247.74
1,1,11,229.24
1,1,12,263.31
1,1,13,260.77
1,1,14,198.18
1,1,15,244.6
1,1,16,250.88
1,1,17,191.92
1,1,18,253.55
1,2,1,377.76
1,2,2,283.68
1,2,3,261.6
1,2,4,247.47
1,2,5,247.88
1,2,6,240.76
1,2,7,214.55
1,2,8,241.35
1,2,9,217.16
1,2,10,221.13
1,2,11,213.84
1,2,12,208.02
1,2,13,186.2
1,2,14,206.11
1,2,15,206.59
1,2,16,198.49
1,2,17,193.46
1,2,18,197.37
1,3,1,416.37
1,3,2,284.51
1,3,3,246.75
1,3,4,248.43
1,3,5,232.94
1,3,6,240.27
1,3,7,254.05
1,3,8,225.83
1,3,9,205.13
1,3,10,189.72
1,3,11,196.27
1,3,12,200.34
1,3,13,199.7
1,3,14,220.63
1,3,15,177.95
1,3,16,194.37
1,3,17,185.14
1,3,18,209.34
1,4,1,386.33
1,4,2,282.78
1,4,3,241.05
1,4,4,250.52
1,4,5,254.59
1,4,6,221.13
1,4,7,228.73
1,4,8,212.25
1,4,9,205.96
1,4,10,197.21
1,4,11,204.74
1,4,12,194.98
1,4,13,179.83
1,4,14,188.25
1,4,15,192.67
1,4,16,211.49
1,4,17,181.35
1,4,18,189.21
1,5,1,402.22
1,5,2,285.58
1,5,3,247.65
1,5,4,253.32
1,5,5,230.14
1,5,6,224.92
1,5,7,201.95
1,5,8,227.4
1,5,9,205.78
1,5,10,207.11
1,5,11,200.79
1,5,12,193.02
1,5,13,230.66
1,5,14,193.79
1,5,15,217.33
1,5,16,195.03
1,5,17,176.12
1,5,18,194.12
1,6,1,391.66
1,6,2,282.9
1,6,3,239.83
1,6,4,236.23
1,6,5,248.53
1,6,6,221.22
1,6,7,211.67
1,6,8,217.77
1,6,9,210.41
1,6,10,189.74
1,6,11,219.26
1,6,12,176.39
1,6,13,185.49
1,6,14,206.1
1,6,15,189.2
1,6,16,200.02
1,6,17,176.57
1,6,18,183.64
2,1,1,394.28
2,1,2,287.88
2,1,3,250.71
2,1,4,260.97
2,1,5,218.03
2,1,6,254.55
2,1,7,255.09
2,1,8,221
2,1,9,254.37
2,1,10,226.85
2,1,11,198.53
2,1,12,240.13
2,1,13,237.44
2,1,14,199.75
2,1,15,240.04
2,1,16,225.86
2,1,17,194.45
2,1,18,243.6
2,2,1,355.89
2,2,2,274.71
2,2,3,255.64
2,2,4,220.19
2,2,5,228.45
2,2,6,241.03
2,2,7,216.74
2,2,8,241.67
2,2,9,232.8
2,2,10,194.83
2,2,11,205.18
2,2,12,217.96
2,2,13,207.82
2,2,14,193.07
2,2,15,202.01
2,2,16,181.3
2,2,17,193.05
2,2,18,186.91
2,3,1,352.62
2,3,2,274.3
2,3,3,221.1
2,3,4,243.64
2,3,5,229.09
2,3,6,224.49
2,3,7,201.25
2,3,8,205.46
2,3,9,196.91
2,3,10,204.66
2,3,11,193.69
2,3,12,190.63
2,3,13,221.8
2,3,14,191.8
2,3,15,180.54
2,3,16,184.12
2,3,17,190.63
2,3,18,180.34
2,4,1,397.62
2,4,2,267.68
2,4,3,214.45
2,4,4,233.05
2,4,5,227.55
2,4,6,208.06
2,4,7,209.67
2,4,8,203.77
2,4,9,217.53
2,4,10,194.84
2,4,11,199.5
2,4,12,196.45
2,4,13,179.29
2,4,14,184.11
2,4,15,167.28
2,4,16,188.85
2,4,17,176.63
2,4,18,175.4
2,5,1,354.76
2,5,2,251.8
2,5,3,216.68
2,5,4,225.32
2,5,5,219.74
2,5,6,231.34
2,5,7,201.11
2,5,8,206.31
2,5,9,193.94
2,5,10,189.89
2,5,11,172.4
2,5,12,182.27
2,5,13,193.39
2,5,14,192.2
2,5,15,191.47
2,5,16,184.15
2,5,17,185.56
2,5,18,183.08
2,6,1,360.35
2,6,2,252.95
2,6,3,224.68
2,6,4,221.29
2,6,5,234.81
2,6,6,204.54
2,6,7,201.3
2,6,8,202.27
2,6,9,198.56
2,6,10,188.78
2,6,11,195.47
2,6,12,201.68
2,6,13,192.96
2,6,14,199.41
2,6,15,185.57
2,6,16,180.35
2,6,17,153.76
2,6,18,174.71
3,1,1,404.54
3,1,2,275.28
3,1,3,272.99
3,1,4,264.35
3,1,5,218.59
3,1,6,251.15
3,1,7,255.93
3,1,8,225.94
3,1,9,252.01
3,1,10,232.12
3,1,11,199.7
3,1,12,245.45
3,1,13,227.01
3,1,14,201.8
3,1,15,218.17
3,1,16,247.98
3,1,17,179.54
3,1,18,230.73
3,2,1,365.54
3,2,2,265.24
3,2,3,259.6
3,2,4,216.28
3,2,5,221.2
3,2,6,225.96
3,2,7,203.96
3,2,8,236.21
3,2,9,219.19
3,2,10,186.49
3,2,11,207.75
3,2,12,207.91
3,2,13,185.06
3,2,14,193.89
3,2,15,197.79
3,2,16,183.14
3,2,17,176.29
3,2,18,189.41
3,3,1,361.64
3,3,2,266.57
3,3,3,228.82
3,3,4,232.12
3,3,5,225.43
3,3,6,213.03
3,3,7,197.74
3,3,8,212.64
3,3,9,190.21
3,3,10,177.34
3,3,11,190.27
3,3,12,187.35
3,3,13,176.05
3,3,14,200.7
3,3,15,165.65
3,3,16,172.01
3,3,17,174.83
3,3,18,188.06
3,4,1,337.37
3,4,2,247.43
3,4,3,209.99
3,4,4,215.8
3,4,5,206.58
3,4,6,210.27
3,4,7,209.23
3,4,8,198.12
3,4,9,207.85
3,4,10,194.14
3,4,11,201.36
3,4,12,187.32
3,4,13,194.27
3,4,14,182.39
3,4,15,175.48
3,4,16,183.51
3,4,17,180.59
3,4,18,173.4
3,5,1,354.78
3,5,2,243.79
3,5,3,229.53
3,5,4,217.38
3,5,5,228.3
3,5,6,193.27
3,5,7,206.99
3,5,8,195.85
3,5,9,203.63
3,5,10,168.4
3,5,11,200.89
3,5,12,189.32
3,5,13,189.93
3,5,14,222.4
3,5,15,186.5
3,5,16,184.23
3,5,17,158.35
3,5,18,171.45
3,6,1,370.78
3,6,2,237.77
3,6,3,217.07
3,6,4,220.31
3,6,5,214.64
3,6,6,190.44
3,6,7,221.76
3,6,8,205.63
3,6,9,195.01
3,6,10,168.97
3,6,11,194.02
3,6,12,179.05
3,6,13,191.11
3,6,14,191.5
3,6,15,182.76
3,6,16,186.97
3,6,17,176.14
3,6,18,179.24
4,1,1,383.41
4,1,2,261.68
4,1,3,267.28
4,1,4,276.04
4,1,5,224.85
4,1,6,237.17
4,1,7,247.06
4,1,8,206.88
4,1,9,241.96
4,1,10,226.81
4,1,11,185.58
4,1,12,250.76
4,1,13,228
4,1,14,195.36
4,1,15,232.15
4,1,16,217.78
4,1,17,182.57
4,1,18,216.52
4,2,1,359.3
4,2,2,261.6
4,2,3,243.11
4,2,4,228.56
4,2,5,219.72
4,2,6,224.19
4,2,7,211.13
4,2,8,207.97
4,2,9,202.22
4,2,10,184.34
4,2,11,198.19
4,2,12,199.59
4,2,13,182.28
4,2,14,174.34
4,2,15,192.56
4,2,16,188.14
4,2,17,173.89
4,2,18,189.06
4,3,1,331.87
4,3,2,257.58
4,3,3,212.78
4,3,4,225.14
4,3,5,220.2
4,3,6,215.49
4,3,7,198.19
4,3,8,224.92
4,3,9,178.78
4,3,10,190.41
4,3,11,201.79
4,3,12,187.9
4,3,13,192.35
4,3,14,196.77
4,3,15,199.68
4,3,16,205.3
4,3,17,160.5
4,3,18,170.91
4,4,1,357.96
4,4,2,248.93
4,4,3,210.11
4,4,4,222.45
4,4,5,206.77
4,4,6,213.07
4,4,7,210.53
4,4,8,184.96
4,4,9,201.85
4,4,10,173.08
4,4,11,184.26
4,4,12,192.52
4,4,13,170.21
4,4,14,180.45
4,4,15,177.56
4,4,16,174.71
4,4,17,164.28
4,4,18,177.62
4,5,1,368.29
4,5,2,251.24
4,5,3,230.85
4,5,4,222.95
4,5,5,216.81
4,5,6,209.14
4,5,7,206.56
4,5,8,204.36
4,5,9,195.46
4,5,10,189.94
4,5,11,191.82
4,5,12,177.95
4,5,13,194.42
4,5,14,204.91
4,5,15,204.49
4,5,16,189.39
4,5,17,169.08
4,5,18,155.54
4,6,1,344.91
4,6,2,242.99
4,6,3,212.5
4,6,4,212.93
4,6,5,223.32
4,6,6,216.46
4,6,7,214.25
4,6,8,213.37
4,6,9,187.03
4,6,10,177.6
4,6,11,183.68
4,6,12,174.85
4,6,13,196.24
4,6,14,184.74
4,6,15,173.86
4,6,16,171.79
4,6,17,162.25
4,6,18,174.67
5,1,1,362.94
5,1,2,249.4
5,1,3,241.24
5,1,4,260.07
5,1,5,215.06
5,1,6,243.86
5,1,7,249.22
5,1,8,200.64
5,1,9,227.65
5,1,10,230.79
5,1,11,198.63
5,1,12,228.83
5,1,13,239.35
5,1,14,198.4
5,1,15,208.71
5,1,16,220.23
5,1,17,189.04
5,1,18,224.22
5,2,1,359.04
5,2,2,259.18
5,2,3,249.61
5,2,4,224.41
5,2,5,217.24
5,2,6,224.04
5,2,7,198.78
5,2,8,223.09
5,2,9,216
5,2,10,181.31
5,2,11,212.48
5,2,12,191.29
5,2,13,170.21
5,2,14,191.35
5,2,15,194.87
5,2,16,185.05
5,2,17,170.76
5,2,18,179.81
5,3,1,349.23
5,3,2,243.76
5,3,3,222.38
5,3,4,226.06
5,3,5,221.88
5,3,6,209.67
5,3,7,207.19
5,3,8,205.44
5,3,9,184.29
5,3,10,190.96
5,3,11,200.19
5,3,12,176.63
5,3,13,201.25
5,3,14,203.26
5,3,15,169.51
5,3,16,175.26
5,3,17,168.34
5,3,18,178.11
5,4,1,331.36
5,4,2,251.42
5,4,3,203.89
5,4,4,224.25
5,4,5,205.4
5,4,6,203.5
5,4,7,209.43
5,4,8,197.27
5,4,9,176.21
5,4,10,175.97
5,4,11,196.1
5,4,12,176.54
5,4,13,186.37
5,4,14,189.93
5,4,15,183.81
5,4,16,179.67
5,4,17,165.35
5,4,18,175.06
5,5,1,338.59
5,5,2,245.87
5,5,3,212.96
5,5,4,206.94
5,5,5,205.54
5,5,6,195.66
5,5,7,193.77
5,5,8,189.07
5,5,9,188.49
5,5,10,177.23
5,5,11,194.77
5,5,12,169.53
5,5,13,185.46
5,5,14,192.49
5,5,15,175.37
5,5,16,173.59
5,5,17,166.1
5,5,18,165.71
5,6,1,336.16
5,6,2,249.77
5,6,3,200.2
5,6,4,204.13
5,6,5,217.29
5,6,6,201.82
5,6,7,197.09
5,6,8,190.93
5,6,9,185.28
5,6,10,172.33
5,6,11,178.14
5,6,12,185.76
5,6,13,193.66
5,6,14,186.76
5,6,15,179.37
5,6,16,220.6
5,6,17,188.77
5,6,18,176.48
6,1,1,350.32
6,1,2,273.81
6,1,3,248.23
6,1,4,258.19
6,1,5,222.17
6,1,6,245.38
6,1,7,242.95
6,1,8,211.54
6,1,9,238.75
6,1,10,231.09
6,1,11,209.92
6,1,12,224.36
6,1,13,220.76
6,1,14,189.32
6,1,15,207.14
6,1,16,236.34
6,1,17,176.92
6,1,18,230.71
6,2,1,348.7
6,2,2,260.98
6,2,3,246.83
6,2,4,226.93
6,2,5,220.35
6,2,6,214.92
6,2,7,222.3
6,2,8,213.73
6,2,9,212.64
6,2,10,178.78
6,2,11,187.47
6,2,12,181.01
6,2,13,170.62
6,2,14,183.38
6,2,15,192.63
6,2,16,168.46
6,2,17,167.99
6,2,18,202.68
6,3,1,345.64
6,3,2,275.32
6,3,3,224.17
6,3,4,220.87
6,3,5,225.89
6,3,6,214.24
6,3,7,200.03
6,3,8,206.15
6,3,9,199.12
6,3,10,192.25
6,3,11,175.34
6,3,12,171.58
6,3,13,173.96
6,3,14,178.88
6,3,15,159.31
6,3,16,217.76
6,3,17,173.53
6,3,18,185.48
6,4,1,332.06
6,4,2,247.85
6,4,3,225.02
6,4,4,221.27
6,4,5,218.93
6,4,6,191.74
6,4,7,197.91
6,4,8,207.94
6,4,9,196.48
6,4,10,163.71
6,4,11,187.41
6,4,12,179.52
6,4,13,179.64
6,4,14,171.99
6,4,15,176.34
6,4,16,184.46
6,4,17,170.52
6,4,18,174.8
6,5,1,336.43
6,5,2,241.27
6,5,3,207.25
6,5,4,217.54
6,5,5,223.23
6,5,6,209.63
6,5,7,215.87
6,5,8,204.39
6,5,9,189.62
6,5,10,176.3
6,5,11,174.54
6,5,12,171.1
6,5,13,173.48
6,5,14,206.19
6,5,15,177.91
6,5,16,167.11
6,5,17,167.49
6,5,18,175.82
6,6,1,341.67
6,6,2,232.69
6,6,3,218.6
6,6,4,209.71
6,6,5,223.22
6,6,6,195.61
6,6,7,201.94
6,6,8,202.18
6,6,9,182.72
6,6,10,179.76
6,6,11,190.78
6,6,12,168.69
6,6,13,178.59
6,6,14,188.99
6,6,15,169.27
6,6,16,171.2
6,6,17,185.37
6,6,18,165.71
7,1,1,376.93
7,1,2,254.45
7,1,3,251.82
7,1,4,269.46
7,1,5,226.03
7,1,6,243.7
7,1,7,250.23
7,1,8,197.06
7,1,9,225.28
7,1,10,234.25
7,1,11,188.47
7,1,12,228.97
7,1,13,222.82
7,1,14,187.12
7,1,15,219.31
7,1,16,229.42
7,1,17,166.98
7,1,18,228.45
7,2,1,355.02
7,2,2,247.83
7,2,3,227.96
7,2,4,217.43
7,2,5,217.23
7,2,6,223.04
7,2,7,214.51
7,2,8,218.23
7,2,9,210.41
7,2,10,182.53
7,2,11,183.8
7,2,12,204.21
7,2,13,172.32
7,2,14,179.07
7,2,15,199.53
7,2,16,179.62
7,2,17,183.41
7,2,18,201.49
7,3,1,343.65
7,3,2,247.2
7,3,3,212.99
7,3,4,217.56
7,3,5,222.01
7,3,6,192.88
7,3,7,201.15
7,3,8,195.07
7,3,9,183.62
7,3,10,180.7
7,3,11,178.51
7,3,12,174.59
7,3,13,169.4
7,3,14,191.71
7,3,15,179.77
7,3,16,191.77
7,3,17,155.28
7,3,18,164.44
7,4,1,318.21
7,4,2,241.62
7,4,3,219.55
7,4,4,213.1
7,4,5,205.76
7,4,6,195.79
7,4,7,216.34
7,4,8,208.42
7,4,9,192.87
7,4,10,169.25
7,4,11,185.54
7,4,12,188.02
7,4,13,183.41
7,4,14,184.24
7,4,15,160.6
7,4,16,172.61
7,4,17,166.54
7,4,18,172.79
7,5,1,358.43
7,5,2,260.7
7,5,3,206.68
7,5,4,213.26
7,5,5,228.68
7,5,6,192.05
7,5,7,210.39
7,5,8,192.18
7,5,9,177.54
7,5,10,169.09
7,5,11,202.99
7,5,12,178.93
7,5,13,179.74
7,5,14,179.39
7,5,15,164.74
7,5,16,187.93
7,5,17,161.71
7,5,18,169.17
7,6,1,335.92
7,6,2,239.88
7,6,3,203.24
7,6,4,214.49
7,6,5,222.37
7,6,6,192.84
7,6,7,199.58
7,6,8,189.84
7,6,9,185.3
7,6,10,161.74
7,6,11,183.12
7,6,12,186.99
7,6,13,175.36
7,6,14,187.56
7,6,15,186.39
7,6,16,178.17
7,6,17,171.01
7,6,18,166.01
8,1,1,380.16
8,1,2,270.93
8,1,3,243.89
8,1,4,248.52
8,1,5,218.91
8,1,6,239.06
8,1,7,236.51
8,1,8,197.99
8,1,9,238.17
8,1,10,222.82
8,1,11,189.71
8,1,12,222.12
8,1,13,229.64
8,1,14,185.28
8,1,15,214.87
8,1,16,221.96
8,1,17,169.5
8,1,18,228.11
8,2,1,350.13
8,2,2,260.79
8,2,3,240.61
8,2,4,215.14
8,2,5,226.78
8,2,6,221.02
8,2,7,198.14
8,2,8,211.03
8,2,9,216.81
8,2,10,177.54
8,2,11,179.77
8,2,12,209.21
8,2,13,183.1
8,2,14,184.53
8,2,15,176.82
8,2,16,165.94
8,2,17,185.93
8,2,18,197.89
8,3,1,359.59
8,3,2,238.38
8,3,3,201.94
8,3,4,228.41
8,3,5,221.21
8,3,6,205.86
8,3,7,208.85
8,3,8,200.75
8,3,9,184.65
8,3,10,183.2
8,3,11,178.05
8,3,12,192.44
8,3,13,184.2
8,3,14,181.75
8,3,15,170.97
8,3,16,162.89
8,3,17,165.18
8,3,18,161.8
8,4,1,326.17
8,4,2,240.6
8,4,3,219.31
8,4,4,205.96
8,4,5,210.6
8,4,6,199.33
8,4,7,210.88
8,4,8,199.11
8,4,9,190.85
8,4,10,175.81
8,4,11,189.01
8,4,12,178.1
8,4,13,192.49
8,4,14,185.12
8,4,15,174.55
8,4,16,177.73
8,4,17,168.13
8,4,18,172.16
8,5,1,362.29
8,5,2,237.3
8,5,3,201.93
8,5,4,200.46
8,5,5,206.76
8,5,6,205.28
8,5,7,185.84
8,5,8,194.17
8,5,9,172.92
8,5,10,170.73
8,5,11,194.19
8,5,12,178.55
8,5,13,183.9
8,5,14,181.95
8,5,15,177.56
8,5,16,187.92
8,5,17,156.42
8,5,18,168.9
8,6,1,335.85
8,6,2,231.53
8,6,3,211.99
8,6,4,204.98
8,6,5,205.63
8,6,6,208.07
8,6,7,204.47
8,6,8,196.96
8,6,9,178.17
8,6,10,168.22
8,6,11,180.42
8,6,12,172.5
8,6,13,174.7
8,6,14,205.88
8,6,15,163.52
8,6,16,152.89
8,6,17,172.74
8,6,18,173.09
9,1,1,349.51
9,1,2,257.84
9,1,3,238.17
9,1,4,266.64
9,1,5,216.29
9,1,6,243.22
9,1,7,233.4
9,1,8,188.86
9,1,9,236.01
9,1,10,225.36
9,1,11,180
9,1,12,239.8
9,1,13,223.74
9,1,14,185.15
9,1,15,213.08
9,1,16,214.6
9,1,17,183.24
9,1,18,225.42
9,2,1,343.7
9,2,2,240.8
9,2,3,233.96
9,2,4,213.92
9,2,5,219.85
9,2,6,212.94
9,2,7,204.86
9,2,8,200.53
9,2,9,204.49
9,2,10,179.13
9,2,11,186.58
9,2,12,193.23
9,2,13,178.14
9,2,14,175.79
9,2,15,188.61
9,2,16,183.72
9,2,17,169.13
9,2,18,179.98
9,3,1,339.19
9,3,2,245.1
9,3,3,216.05
