$time_passes,$gv0,$instcombine,$inline,$jump_threading,$simplifycfg,$sccp,$print_used_types,$ipsccp,$iv_users,$licm,$<Performance
1,0,0,0,0,0,0,0,0,0,0,210.44
1,0,0,0,0,0,1,0,0,1,0,200.66
1,0,0,1,0,1,0,0,1,1,0,213.603333333333
1,0,1,1,1,1,0,1,1,1,1,248.583333333333
1,1,1,1,1,1,0,0,0,0,1,251.803333333333
1,1,1,1,1,1,0,0,0,1,1,261.573333333333
1,1,1,1,1,1,0,1,0,0,1,267.593333333333
1,1,1,1,1,1,0,1,0,1,1,260.693333333333
1,1,1,1,1,1,0,0,1,0,1,265.423333333333
1,1,1,1,1,1,0,1,1,0,1,262.94
1,1,1,1,1,1,0,0,1,1,1,263.82
1,1,1,1,1,1,0,1,1,1,1,267.51
1,0,1,1,1,1,1,0,0,0,1,268.55
1,0,0,1,0,1,0,1,0,0,0,214.886666666667
1,0,1,1,1,1,1,0,0,1,1,249.343333333333
1,0,1,1,1,1,1,0,1,0,1,251.786666666667
1,0,1,1,1,1,1,0,1,1,1,251.523333333333
1,1,1,1,1,1,1,0,0,0,1,252.683333333333
1,1,1,1,1,1,1,0,1,0,1,263.586666666667
1,1,1,1,1,1,1,0,0,1,1,264.743333333333
1,1,1,1,1,1,1,0,1,1,1,269.47
1,0,1,1,1,1,1,1,0,0,1,269.47
1,0,1,1,1,1,1,1,0,1,1,249.36
1,1,1,1,1,1,1,1,0,0,1,250.43
1,0,0,1,0,1,0,1,1,0,0,210.996666666667
1,1,1,1,1,1,1,1,0,1,1,262.113333333333
1,0,1,1,1,1,1,1,1,0,1,267.173333333333
1,1,1,1,1,1,1,1,1,0,1,252.446666666667
1,0,1,1,1,1,1,1,1,1,1,265.816666666667
1,1,1,1,1,1,1,1,1,1,1,253.673333333333
1,0,0,1,0,1,0,1,0,1,0,215.01
1,0,0,1,0,1,0,1,1,1,0,212.053333333333
1,0,0,1,1,1,0,0,0,0,0,216.373333333333
1,0,0,1,1,1,0,0,0,1,0,210.506666666667
1,0,0,1,1,1,0,1,0,0,0,212.713333333333
1,0,0,1,1,1,0,1,0,1,0,211.48
1,0,0,1,1,1,0,0,1,0,0,213.096666666667
1,0,0,0,0,0,1,1,0,0,0,202.386666666667
1,0,0,1,1,1,0,1,1,0,0,214.406666666667
1,0,0,1,1,1,0,0,1,1,0,215.733333333333
1,0,0,1,1,1,0,1,1,1,0,215.946666666667
1,0,0,1,0,1,1,0,0,0,0,217.236666666667
1,0,0,1,0,1,1,0,0,1,0,212.443333333333
1,0,0,1,0,1,1,0,1,0,0,214.38
1,0,0,1,0,1,1,0,1,1,0,215.943333333333
1,0,0,1,1,1,1,0,0,0,0,217.466666666667
1,0,0,1,1,1,1,0,1,0,0,213.406666666667
1,0,0,1,1,1,1,0,0,1,0,216.923333333333
1,0,0,0,0,0,1,1,0,1,0,201.896666666667
1,0,0,1,1,1,1,0,1,1,0,215.366666666667
1,0,0,1,0,1,1,1,0,0,0,218.233333333333
1,0,0,1,0,1,1,1,0,1,0,213
1,0,0,1,1,1,1,1,0,0,0,214.48
1,0,0,1,1,1,1,1,0,1,0,214.05
1,0,0,1,0,1,1,1,1,0,0,215.47
1,0,0,1,1,1,1,1,1,0,0,217.293333333333
1,0,0,1,0,1,1,1,1,1,0,218.323333333333
1,0,0,1,1,1,1,1,1,1,0,218.623333333333
1,0,1,0,0,0,0,0,0,0,0,219.636666666667
1,0,0,0,0,0,1,0,1,0,0,203.636666666667
1,0,1,0,0,0,0,0,0,1,0,216.403333333333
1,0,1,0,0,0,0,0,1,0,0,218.816666666667
1,0,1,0,0,0,0,0,1,1,0,219.283333333333
1,0,1,0,0,0,0,1,0,0,0,221.376666666667
1,0,1,0,0,0,0,1,1,0,0,217.286666666667
1,0,1,0,0,0,0,1,0,1,0,220.396666666667
1,0,1,0,0,0,0,1,1,1,0,219.386666666667
1,0,1,0,0,0,1,0,0,0,0,222.433333333333
1,0,1,0,0,0,1,0,0,1,0,218.096666666667
1,0,1,0,0,0,1,1,0,0,0,220.423333333333
1,0,0,0,0,0,1,1,1,0,0,204.176666666667
1,0,1,0,0,0,1,1,0,1,0,218.89
1,0,1,0,0,0,1,0,1,0,0,221.166666666667
1,0,1,0,0,0,1,1,1,0,0,221.01
1,0,1,0,0,0,1,0,1,1,0,222.086666666667
1,0,1,0,0,0,1,1,1,1,0,223.296666666667
1,0,1,0,0,1,0,0,0,0,0,224.073333333333
1,0,1,0,0,1,0,0,0,1,0,217.696666666667
1,0,1,0,0,1,0,0,1,0,0,219.966666666667
1,0,1,0,0,1,0,0,1,1,0,220.386666666667
1,0,1,0,0,1,1,0,0,0,0,222.52
1,0,0,0,0,0,1,0,1,1,0,205.13
1,0,1,0,0,1,1,0,1,0,0,219.333333333333
1,0,1,0,0,1,1,0,0,1,0,222.186666666667
1,0,1,0,0,1,1,0,1,1,0,221.726666666667
1,0,1,0,0,1,0,1,0,0,0,224.176666666667
1,0,1,0,0,1,0,1,0,1,0,218.563333333333
1,0,1,0,0,1,1,1,0,0,0,220.573333333333
1,0,1,0,0,1,1,1,0,1,0,220.21
1,0,1,0,0,1,0,1,1,0,0,222.266666666667
1,0,1,0,0,1,1,1,1,0,0,221.26
1,0,1,0,0,1,0,1,1,1,0,223.07
1,0,0,0,0,0,1,1,1,1,0,205.99
1,0,1,0,0,1,1,1,1,1,0,223.286666666667
1,0,1,1,0,0,0,0,0,0,0,224.95
1,0,1,1,0,0,0,0,0,1,0,224.49
1,0,1,1,0,0,0,0,1,0,0,227.013333333333
1,0,1,1,0,0,0,0,1,1,0,227.4
1,0,1,1,0,0,0,1,0,0,0,229.276666666667
1,0,1,1,0,0,0,1,1,0,0,224.99
1,0,1,1,0,0,0,1,0,1,0,228.646666666667
1,0,1,1,0,0,0,1,1,1,0,227.153333333333
1,0,1,1,0,1,0,0,0,0,0,230.536666666667
1,0,0,0,0,1,0,0,0,0,0,206.9
1,0,1,1,0,1,0,0,0,1,0,226.13
1,0,1,1,0,1,0,1,0,0,0,228.653333333333
