max_spout,spliters,counters,throughput
1,1,1,4602.9
1,1,3,4508.5
1,1,6,4504.4
1,1,9,4404.4
1,1,12,4275.4
1,1,15,4422.9
1,1,18,4382.4
1,2,1,4508.5
1,2,3,4747.2
1,2,6,4794.6
1,2,9,4752.9
1,2,12,4686.7
1,2,15,4643.2
1,2,18,4606.4
1,3,1,5384.6
1,3,3,5591.7
1,3,6,5372.8
1,3,9,5258.3
1,3,12,5131.6
1,3,15,5143
1,3,18,5160.4
1,6,1,5318.7
1,6,3,5361.1
1,6,6,5202.6
1,6,9,5160.1
1,6,12,5120.9
1,6,15,4999.7
1,6,18,4957.8
10,1,1,9276.1
10,1,3,14647
10,1,6,15094
10,1,9,15355
10,1,12,15001
10,1,15,15229
10,1,18,15212
10,2,1,8494.1
10,2,3,19208
10,2,6,21618
10,2,9,22005
10,2,12,21765
10,2,15,22447
10,2,18,22140
10,3,1,8400
10,3,3,16797
10,3,6,17061
10,3,9,17217
10,3,12,17287
10,3,15,16905
10,3,18,15905
10,6,1,8667.5
10,6,3,17814
10,6,6,19636
10,6,9,19413
10,6,12,20995
10,6,15,19637
10,6,18,19340
100,1,1,10747
100,1,3,21959
100,1,6,21745
100,1,9,23144
100,1,12,22410
100,1,15,22591
100,1,18,23184
100,2,1,9506.6
100,2,3,24998
100,2,6,28972
100,2,9,30659
100,2,12,33320
100,2,15,31867
100,2,18,33784
100,3,1,9885.2
100,3,3,18806
100,3,6,21693
100,3,9,23160
100,3,12,21451
100,3,15,22544
100,3,18,21195
100,6,1,10467
100,6,3,22524
100,6,6,24578
100,6,9,23012
100,6,12,25459
100,6,15,24599
100,6,18,25682
1000,1,1,9573.1
1000,1,3,22456
1000,1,6,23770
1000,1,9,23344
1000,1,12,25936
1000,1,15,25778
1000,1,18,25595
1000,2,1,9034.6
1000,2,3,26177
1000,2,6,31480
1000,2,9,35368
1000,2,12,38846
1000,2,15,38350
1000,2,18,37037
1000,3,1,10065
1000,3,3,22331
1000,3,6,21866
1000,3,9,22074
1000,3,12,25959
1000,3,15,23466
1000,3,18,23344
1000,6,1,9328.2
1000,6,3,22884
1000,6,6,27448
1000,6,9,26511
1000,6,12,27644
1000,6,15,27234
1000,6,18,27640
10000,1,1,9549.7
10000,1,3,18950
10000,1,6,20267
10000,1,9,21076
10000,1,12,21385
10000,1,15,20039
10000,1,18,20923
10000,2,1,8922.4
10000,2,3,25630
10000,2,6,33463
10000,2,9,34739
10000,2,12,33345
10000,2,15,34157
10000,2,18,31974
10000,3,1,9504.8
10000,3,3,19143
10000,3,6,21413
10000,3,9,21810
10000,3,12,20768
10000,3,15,22331
10000,3,18,21871
10000,6,1,11814
10000,6,3,22006
10000,6,6,25263
10000,6,9,27814
10000,6,12,27995
10000,6,15,27720
10000,6,18,29288
1.00E+05,1,1,9136.9
1.00E+05,1,3,18463
1.00E+05,1,6,19583
1.00E+05,1,9,20241
1.00E+05,1,12,22344
1.00E+05,1,15,21114
1.00E+05,1,18,21202
1.00E+05,2,1,7977.6
1.00E+05,2,3,26935
1.00E+05,2,6,30621
1.00E+05,2,9,32491
1.00E+05,2,12,35034
1.00E+05,2,15,34852
1.00E+05,2,18,34687
1.00E+05,3,1,10023
1.00E+05,3,3,18567
1.00E+05,3,6,21296
1.00E+05,3,9,20921
1.00E+05,3,12,20378
1.00E+05,3,15,21716
1.00E+05,3,18,21210
1.00E+05,6,1,10376
1.00E+05,6,3,21885
1.00E+05,6,6,25775
1.00E+05,6,9,27096
1.00E+05,6,12,29156
1.00E+05,6,15,27609
1.00E+05,6,18,28055
1.00E+06,1,1,57603
1.00E+06,1,3,58279
1.00E+06,1,6,54006
1.00E+06,1,9,55495
1.00E+06,1,12,55320
1.00E+06,1,15,58616
1.00E+06,1,18,58326
1.00E+06,2,1,38501
1.00E+06,2,3,42537
1.00E+06,2,6,56964
1.00E+06,2,9,72394
1.00E+06,2,12,64455
1.00E+06,2,15,58581
1.00E+06,2,18,53112
1.00E+06,3,1,51244
1.00E+06,3,3,19409
1.00E+06,3,6,18902
1.00E+06,3,9,21188
1.00E+06,3,12,21921
1.00E+06,3,15,21614
1.00E+06,3,18,20184
1.00E+06,6,1,52828
1.00E+06,6,3,22139
1.00E+06,6,6,28016
1.00E+06,6,9,28562
1.00E+06,6,12,28919
1.00E+06,6,15,26632
1.00E+06,6,18,28388
