$disableCompressibilityTesting,$compression,$level,$encryption,$compressionGzip,$unlimitedWindowSize,$compressionBzip2,$level1,$level2,$level3,$level4,$compressionLrzip,$level6,$level7,$level8,$level9,$compressionLzo,$compressionZpaq,$level5,$<CompressionTime
-1.0,0.4472135955,0.0,-1.0,-0.4472135955,-1.0,-0.4472135955,2.82842712475,-0.353553390593,-0.353553390593,-0.353553390593,2.2360679775,-0.353553390593,-0.353553390593,-0.353553390593,-0.353553390593,-0.4472135955,-0.4472135955,-0.353553390593,208900.0
-1.0,0.4472135955,0.0,-1.0,-0.4472135955,-1.0,-0.4472135955,-0.353553390593,2.82842712475,-0.353553390593,-0.353553390593,2.2360679775,-0.353553390593,-0.353553390593,-0.353553390593,-0.353553390593,-0.4472135955,-0.4472135955,-0.353553390593,210450.0
-1.0,0.4472135955,0.0,-1.0,-0.4472135955,-1.0,-0.4472135955,-0.353553390593,-0.353553390593,2.82842712475,-0.353553390593,2.2360679775,-0.353553390593,-0.353553390593,-0.353553390593,-0.353553390593,-0.4472135955,-0.4472135955,-0.353553390593,283750.0
-1.0,0.4472135955,0.0,-1.0,-0.4472135955,-1.0,-0.4472135955,-0.353553390593,-0.353553390593,-0.353553390593,2.82842712475,2.2360679775,-0.353553390593,-0.353553390593,-0.353553390593,-0.353553390593,-0.4472135955,-0.4472135955,-0.353553390593,339780.0
-1.0,0.4472135955,0.0,-1.0,-0.4472135955,-1.0,-0.4472135955,-0.353553390593,-0.353553390593,-0.353553390593,-0.353553390593,2.2360679775,-0.353553390593,-0.353553390593,-0.353553390593,-0.353553390593,-0.4472135955,-0.4472135955,2.82842712475,340590.0
-1.0,0.4472135955,0.0,-1.0,-0.4472135955,-1.0,-0.4472135955,-0.353553390593,-0.353553390593,-0.353553390593,-0.353553390593,2.2360679775,2.82842712475,-0.353553390593,-0.353553390593,-0.353553390593,-0.4472135955,-0.4472135955,-0.353553390593,384660.0
-1.0,0.4472135955,0.0,-1.0,-0.4472135955,-1.0,-0.4472135955,-0.353553390593,-0.353553390593,-0.353553390593,-0.353553390593,2.2360679775,-0.353553390593,2.82842712475,-0.353553390593,-0.353553390593,-0.4472135955,-0.4472135955,-0.353553390593,1062250.0
-1.0,0.4472135955,0.0,-1.0,-0.4472135955,-1.0,-0.4472135955,-0.353553390593,-0.353553390593,-0.353553390593,-0.353553390593,2.2360679775,-0.353553390593,-0.353553390593,2.82842712475,-0.353553390593,-0.4472135955,-0.4472135955,-0.353553390593,1179830.0
-1.0,0.4472135955,0.0,-1.0,-0.4472135955,-1.0,-0.4472135955,-0.353553390593,-0.353553390593,-0.353553390593,-0.353553390593,2.2360679775,-0.353553390593,-0.353553390593,-0.353553390593,2.82842712475,-0.4472135955,-0.4472135955,-0.353553390593,827290.0
-1.0,0.4472135955,0.0,-1.0,-0.4472135955,-1.0,2.2360679775,2.82842712475,-0.353553390593,-0.353553390593,-0.353553390593,-0.4472135955,-0.353553390593,-0.353553390593,-0.353553390593,-0.353553390593,-0.4472135955,-0.4472135955,-0.353553390593,208350.0
-1.0,0.4472135955,0.0,-1.0,-0.4472135955,-1.0,2.2360679775,-0.353553390593,2.82842712475,-0.353553390593,-0.353553390593,-0.4472135955,-0.353553390593,-0.353553390593,-0.353553390593,-0.353553390593,-0.4472135955,-0.4472135955,-0.353553390593,213220.0
-1.0,0.4472135955,0.0,-1.0,-0.4472135955,-1.0,2.2360679775,-0.353553390593,-0.353553390593,2.82842712475,-0.353553390593,-0.4472135955,-0.353553390593,-0.353553390593,-0.353553390593,-0.353553390593,-0.4472135955,-0.4472135955,-0.353553390593,223040.0
-1.0,0.4472135955,0.0,-1.0,-0.4472135955,-1.0,2.2360679775,-0.353553390593,-0.353553390593,-0.353553390593,2.82842712475,-0.4472135955,-0.353553390593,-0.353553390593,-0.353553390593,-0.353553390593,-0.4472135955,-0.4472135955,-0.353553390593,234870.0
-1.0,0.4472135955,0.0,-1.0,-0.4472135955,-1.0,2.2360679775,-0.353553390593,-0.353553390593,-0.353553390593,-0.353553390593,-0.4472135955,-0.353553390593,-0.353553390593,-0.353553390593,-0.353553390593,-0.4472135955,-0.4472135955,2.82842712475,236720.0
-1.0,0.4472135955,0.0,-1.0,-0.4472135955,-1.0,2.2360679775,-0.353553390593,-0.353553390593,-0.353553390593,-0.353553390593,-0.4472135955,2.82842712475,-0.353553390593,-0.353553390593,-0.353553390593,-0.4472135955,-0.4472135955,-0.353553390593,248940.0
-1.0,0.4472135955,0.0,-1.0,-0.4472135955,-1.0,2.2360679775,-0.353553390593,-0.353553390593,-0.353553390593,-0.353553390593,-0.4472135955,-0.353553390593,2.82842712475,-0.353553390593,-0.353553390593,-0.4472135955,-0.4472135955,-0.353553390593,257480.0
-1.0,0.4472135955,0.0,-1.0,-0.4472135955,-1.0,2.2360679775,-0.353553390593,-0.353553390593,-0.353553390593,-0.353553390593,-0.4472135955,-0.353553390593,-0.353553390593,2.82842712475,-0.353553390593,-0.4472135955,-0.4472135955,-0.353553390593,263430.0
